National Database Number,Field Number,Nmfs Regional Number,Common Name,Genus,Species,Report Status,Examiner Name,Affiliation,Stranding Agreement/Authority,Region,City - from strandings table,County,State,Body of Water,Locality Detail,Latitude,Latitude Units,Latitude Actual/Estimate,Longitude,Longitude Actual/Estimate,How lat/long determined,Restrand,Findings of Human Interaction,Observation Date,Year of Observation,Month of Observation,Day of Observation,How Observed,Observation Date Act/Est,Observation Status,Not Able to Examine,Date of Examination,Year of Examination,Month of Examination,Day of Examination,Condition at Examination,Left at Site,Sex,Age Class,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Necropsied Flag,Necropsy Limited Flag,Necropy Carcass Fresh/Frozen,Date of Necropsy,Year of Necropsy,Month of Necropsy,Day of Necropsy,Stranding Necropsied By,Additional Remarks,Additional Identifiers
NW-2002-1027180,NW-4736,NMFSNW-4736,"Whale, sperm",Physeter,macrocephalus,Validated,Coast Guard,,Unknown,NW,Coos Bay,Coos,OR,,45 nm west of coast,43 26,,,-125.14,,,,N,2002-FEB-20,2002,FEB,20,,,Fresh Dead,N,2002-FEB-20,2002,FEB,20,Advanced Decomposition,N,MALE,,,cm,actual,,kg,N,,,,,,,,,,
MKH2018-002,MKH2018-002,MKH2018-002,"Unidentified Small Cetacean, Porpoise or Dolphin",,,,Maria Roberts,Makah Fisheries Management,Makah Fisheries Management,NW,Neah Bay,Clallam,WA,Pacific Ocean,Hobuck Beach,48.3403,Estimate,,-124.67,Estimate,Internet,,CBD,2018-FEB-8,2018,FEB,8,,,,,2018-FEB-8,2018,FEB,8,,N,N,,,,,,,,,,,,,,,,,
MKH2014-29,MKH2014-29,,"Dolphin, common, short-beaked",Delphinus,delphis,,,,,,,Clallam,WA,,,48.3013,,,-124.67,,,,N,11/10/14,2014,NOV,,,,Dead,,,,,,,,Male,SUBADULT,,,,,,,,,,,,,,,,
NW-2000-1023709,MBHPp20001,NMFSNW-1505,"Porpoise, harbor",Phocoena,phocoena,Validated,Park Ranger,,Fay Bainbridge State Park,NW,Rialto Beach,Clallam,WA,,1/3 mile N of Hole in the Wall,47 57,,,-124.40,,,,N,2000-AUG-12,2000,AUG,12,,,Fresh Dead,N,2000-AUG-19,2000,AUG,19,Advanced Decomposition,N,MALE,,116,cm,actual,,kg,N,,,,,,,,,,
CRC-1616,CRC-1616,,"Whale, gray",Eschrichtius,robustus,,,,,,,Jefferson,WA,,,47.632,,,-124.38,,,,CBD,8/16/17,2017,AUG,,,,Live,,,,,,,,Male,YEARLING,,,,,,,,,,,,,,,,
CRC-833,CRC-833,,"Whale, sperm",Physeter,macrocephalus,,,,,,,Jefferson,WA,,,47.6046,,,-124.37,,,,N,1/11/08,2008,JAN,,,,Dead,,,,,,,,Female,CALF,,,,,,,,,,,,,,,,
CRC-1643,CRC-1643,,Unidentified,unknown,unknown,,,,,,,Grays Harbor,WA,,,47.304,,,-124.27,,,,CBD,,2017,DEC,,,,Dead,,,,,,,,UNKNOWN,ADULT,,,,,,,,,,,,,,,,
PP-NPP-05-01,PP-NPP-05-01,,"Porpoise, harbor",phocoena,phocoena,,Nate Pamplin,Makah Fisheries Management,Makah Fisheries Management,NW,Clallam Bay,Clallam,WA,Strait of Juan de Fuca,West 0.5 mile of Clallam River mouth,48.2566,decimal degrees,Estimate,-124.26,Estimate,Internet,N,CBD,38552,2005,JUL,19,Beach or Land,,,Y,38555,2005,7,22,Moderate Decomposition,N,UNKNOWN,PUP/CALF,,,,,,N,,,,,,,,"Reporting party handed carcass frozen in a bag to Makah Fisheries.. Carcass stored in freezer, not examined.. . ",,
CRC-1618,CRC-1618,,"Porpoise, harbor",Phocoena,phocoena,,,,,,,Grays Harbor,WA,,,47.3014,,,-124.25,,,,CBD,,2017,AUG,,,,Dead,,,,,,,,UNKNOWN,CALF,,,,,,,,,,,,,,,,
NW-2000-1023723,CRC-468,CRC-468,"Whale, gray",Eschrichtius,robustus,Validated,Cascadia Research,,Unknown,NW,Queets,Jefferson,WA,,1 mile south of Queets,47 31,,,-124.21,,,,N,2000-MAY-11,2000,MAY,11,,,Fresh Dead,N,2000-MAY-17,2000,MAY,17,Advanced Decomposition,N,FEMALE,,1240,cm,actual,,kg,Y,,,,,Unknown,,,,,
