"month","year","NPGO","upwell_avg","upwell","PDO","sst","MEI"
1,2000,1.4045384,-70.25,-73,-2.13,9.65,-1.122
1,2001,2.8619328,-128.75,-82,0.64,9.969,-0.496
1,2002,1.8641573,-54.5,-87,-0.34,NA,0.017
1,2003,1.9691832,-173.25,-208,1.58,11.114,1.214
1,2004,0.26501486,-129.375,-156,-0.42,10.46,0.332
1,2005,-1.6584775,-70.125,-75,-0.13,NA,0.325
1,2006,-0.6465035,-119.125,-157,0.54,11.455,-0.428
1,2007,-0.4117224,-10.5,-1,-0.63,9.697,0.985
1,2008,0.5557309,-41.25,-25,-1.47,NA,-1.006
1,2009,0.7225751,-59.375,-3,-1.7,9.327,-0.714
1,2010,2.062816,-247.25,-257,0.06,10.844,1.066
1,2011,0.3217816,-19.25,-18,-1.73,9.729,-1.719
1,2012,0.833666,-58.75,-62,-1.72,9.178,-0.98
1,2013,1.2306213,-25.5,-3,-0.94,9.898,0.103
1,2014,-0.38970667,-35.5,-17,-0.6,8.885,-0.27
1,2015,-0.55092806,-66,-32,1.7,12.377,0.417
1,2016,0.9376462,-192.375,-261,0.82,11.412,2.216
1,2017,-0.2667852,-47,-83,0.14,10.361,-0.052
1,2018,-1.4850568,-129.125,-161,0.33,10.949,-0.623
10,2000,1.6981881,-29.125,-4,-1.67,11.505,-0.367
10,2001,1.1619115,-0.125,2,-1.87,11.601,-0.255
10,2002,0.8236371,7.375,13,-0.25,10.526,1.02
10,2003,1.286991,-24.5,-16,0.54,13.157,0.534
10,2004,0.042904183,-3.375,2,-0.76,13.086,0.524
10,2005,-0.8893114,-39.875,-24,-2.05,12.7,-0.152
10,2006,-1.0489801,28.25,39,-0.6,11.106,0.976
10,2007,1.2687833,-29.625,-9,-2.24,12.212,-1.204
10,2008,1.7658828,-32.625,0,-1.8,12.943,-0.681
10,2009,1.1538724,-16.125,-7,-0.23,13.045,0.924
10,2010,1.6057858,-44.25,-12,-1.61,13.085,-1.888
10,2011,1.2043564,-16.375,-1,-1.95,14.467,-0.917
10,2012,1.8664157,-8.75,-10,-1.22,11.551,0.097
10,2013,-0.14729041,19.625,13,-1.89,14.253,0.148
10,2014,0.42413825,-43.625,-36,1.34,15.851,0.45
10,2015,-1.3069408,-21.375,-3,0.77,14.604,2.256
10,2016,0.3520168,-61.125,-119,-0.66,13.671,-0.363
10,2017,-1.4277744,18.375,2,-0.62,13.286,-0.551
10,2018,-2.55824,-25.125,0,-0.75,12.956,0.468
11,2000,2.0145948,-48.625,-39,-1.06,10.749,-0.701
11,2001,1.7645249,-100.125,-119,-1.17,11.22,-0.138
11,2002,1.6592152,-109.375,-115,1.04,11.016,1.101
11,2003,-0.11436786,-19,-34,-0.19,11.731,0.584
11,2004,-0.44177726,-9,0,-1.24,11.46,0.818
11,2005,-1.6610364,-77.5,-12,-1.84,11.756,-0.374
11,2006,-0.99574655,-114.625,-118,-0.83,11.509,1.297
11,2007,0.72844106,-33.625,-1,-1.38,11.136,-1.149
11,2008,1.9697901,-60.25,-38,-1.57,12.332,-0.584
11,2009,1.0545827,-76,-114,-1.01,12.078,1.134
11,2010,0.9877614,-32.5,-34,-1.58,12.084,-1.472
11,2011,0.37422317,-28.875,-39,-2.96,12.011,-0.933
11,2012,1.4016486,-121.125,-92,-0.58,12.167,0.141
11,2013,-0.804566,-14.75,-10,-1.18,11.609,-0.042
11,2014,0.3108105,-38.5,-54,1.35,13.786,0.773
11,2015,-2.253835,-9.375,-10,0.16,13.315,2.3
11,2016,1.159299,-129.5,-156,0.85,14.035,-0.197
11,2017,-2.1840963,-85.125,-128,-0.45,11.871,-0.277
11,2018,-2.0905776,-47.75,-21,-0.78,12.196,0.698
12,2000,2.164995,-83.5,-82,0.06,10.148,-0.55
12,2001,2.019483,-109.375,-161,-0.99,NA,0.033
12,2002,2.636547,-158.125,-221,1.63,12.024,1.156
12,2003,0.22437689,-160,-205,-0.41,11.141,0.362
12,2004,-0.98521197,-51.375,-16,-0.74,10.429,0.684
12,2005,-1.2528956,-125.5,-85,-0.1,10.737,-0.55
12,2006,-0.1553899,-127,-69,-0.54,11.151,0.965
12,2007,0.45784405,-59.25,-61,-0.92,NA,-1.178
12,2008,0.44929096,-28.625,-19,-1.31,10.66,-0.646
12,2009,1.0631177,-57.875,-64,-0.52,10.341,1.059
12,2010,0.7793436,-117.125,-172,-2,10.712,-1.558
12,2011,0.13205332,-5.25,2,-2.32,10.002,-0.945
12,2012,1.200031,-58.625,-83,-1.25,11.345,0.111
12,2013,-1.4515896,2.5,4,-1.15,9.538,-0.234
12,2014,-0.35602385,-69.5,-85,1.95,13.278,0.566
12,2015,-1.1060514,-100.375,-161,0.53,12.135,2.12
12,2016,-1.5408496,-20.75,-8,0.55,12.277,-0.11
12,2017,-2.7983775,-38.375,-21,-0.12,11.183,-0.576
12,2018,-1.9662519,-72.5,-113,-0.09,11.287,0.7
2,2000,2.123531,-74.375,-78,-1.22,9.953,-1.189
2,2001,2.9560468,-25.75,-18,0.05,9.557,-0.649
2,2002,2.1773567,-44.75,-29,-1.29,9.521,-0.16
2,2003,0.9925656,-10.125,0,1.32,10.623,0.944
2,2004,0.6672296,-96,-98,-0.11,10.21,0.37
2,2005,-1.4945695,-22.875,4,0.17,NA,0.816
2,2006,-1.0694165,-1.125,0,0.38,10.397,-0.414
2,2007,-0.13660997,-58.5,-48,-0.63,9.561,0.537
2,2008,1.1359497,-94.625,-11,-1.33,NA,-1.371
2,2009,0.9093018,-17.375,-19,-1.76,8.989,-0.69
2,2010,1.838936,-96.375,-92,0.16,10.973,1.526
2,2011,0.5503248,-8,-11,-1.45,NA,-1.544
2,2012,0.86268306,-37,-44,-1.26,9.168,-0.675
2,2013,1.2039313,-15.25,-4,-1.32,9.311,-0.068
2,2014,-0.26691276,-47.5,-62,-0.42,9.213,-0.259
2,2015,-1.2735983,-38.375,-20,1.76,12.272,0.464
2,2016,0.22869466,-114.375,-112,1.26,11.417,2.17
2,2017,-0.6709852,-22.375,-44,0.07,10.462,-0.043
2,2018,-2.2327564,33.125,16,-0.15,10.136,-0.731
3,2000,2.1492677,-41.125,-13,-0.65,9.883,-1.09
3,2001,2.388775,-24,0,-0.3,9.552,-0.548
3,2002,1.8982763,-9.125,-6,-1.13,9.269,-0.118
3,2003,1.4907115,-54.625,-82,1.08,10.547,0.83
3,2004,0.38293236,-5.875,-5,-0.13,10.456,-0.036
3,2005,-1.4867297,-33.625,-9,0.69,NA,1.057
3,2006,-0.7099621,-62.75,-68,-0.72,10.19,-0.521
3,2007,-0.54892534,-72.875,-8,-1.05,10.042,0.125
3,2008,1.3746045,-37.625,-9,-1.26,8.99,-1.552
3,2009,0.3312593,-30.125,-5,-2.03,9.344,-0.705
3,2010,1.6534425,-54,-29,-0.21,10.841,1.462
3,2011,1.2027031,-84.875,-157,-1.29,NA,-1.554
3,2012,1.116866,-40.125,-75,-1.59,8.743,-0.382
3,2013,0.64256865,1.125,-3,-1.18,9.165,-0.026
3,2014,-0.45373875,-30.875,-33,0.28,10.281,0.018
3,2015,-1.3956342,-14.625,-7,1.52,11.265,0.614
3,2016,0.4720812,-62.5,-85,1.57,11.554,1.963
3,2017,-0.894669,-75.75,-63,0.14,10.391,-0.08
3,2018,-2.0429688,-8.25,-8,-0.62,9.89,-0.502
4,2000,2.3652706,-17.625,0,-0.64,10.603,-0.397
4,2001,2.2039413,9.75,0,-1.23,9.908,-0.05
4,2002,0.89742213,29.25,17,-1.23,9.737,0.401
4,2003,1.1017216,-9.75,-17,0.32,10.828,0.413
4,2004,0.1252492,-5.125,1,-0.2,11.102,0.358
4,2005,-1.6860675,-9.625,-10,0.21,11.521,0.626
4,2006,-0.56621325,-14.75,1,-0.55,11.071,-0.571
4,2007,0.26061866,-21.5,0,-0.56,10.51,0.026
4,2008,1.3959782,24.375,9,-2,9.331,-0.858
4,2009,0.4162877,31.125,25,-2.28,9.634,-0.106
4,2010,1.1785061,4.375,0,-0.27,11.007,0.978
4,2011,0.596072,8.375,-1,-1.26,NA,-1.387
4,2012,1.9261199,-13.375,-16,-0.94,10.011,0.11
4,2013,0.4762448,36.25,16,-0.62,10.195,0.09
4,2014,-0.61755997,1,-3,0.42,10.906,0.295
4,2015,-1.3788626,10.125,7,0.94,10.681,0.916
4,2016,-0.40044832,-10.75,2,1.65,12.59,2.094
4,2017,-0.11361968,-22.125,-31,0.55,10.758,0.744
4,2018,-2.0587792,-8.875,-8,-0.88,10.561,-0.432
5,2000,2.220292,18,7,-0.86,12.315,0.251
5,2001,1.9538953,43.625,45,-1.1,11.141,0.282
5,2002,1.102573,36.375,14,-1.57,11.301,0.886
5,2003,0.9192588,43.75,27,0.06,12.669,0.214
5,2004,0.20735337,35.625,16,0.23,13.996,0.558
5,2005,-0.79030764,4.375,-2,1.06,13.508,0.885
5,2006,-0.12235165,33.5,29,-0.45,11.919,0.045
5,2007,0.6913841,51.25,53,-0.53,11.412,0.348
5,2008,1.7382507,44.25,34,-1.93,11.526,-0.345
5,2009,0.5548924,25.5,13,-1.45,10.874,0.326
5,2010,1.8660371,23.875,9,-0.35,11.98,0.658
5,2011,1.3946886,18.375,8,-0.96,NA,-0.199
5,2012,1.6273782,40.625,25,-2,11.395,0.757
5,2013,0.8523294,30,6,-0.4,11.733,0.205
5,2014,0.22740889,36.625,9,1.09,13.419,1.001
5,2015,-0.7200374,79.625,86,0.31,12.681,1.583
5,2016,-0.6821762,63.125,69,1.47,13.303,1.752
5,2017,-0.5071737,57,29,0.28,12.232,1.445
5,2018,-1.9215388,55.125,59,-0.69,12.73,0.465
6,2000,2.1020663,60.25,55,-0.66,12.192,0.001
6,2001,2.349303,69.75,37,-1.28,13.499,0.052
6,2002,1.6053913,76,30,-1.27,13.759,0.932
6,2003,0.77769154,82.375,80,-0.51,13.314,0.107
6,2004,0.7764751,54.25,43,-0.49,14.947,0.315
6,2005,-1.2837522,40.5,23,0.56,15.404,0.589
6,2006,-0.12757395,56.25,62,-0.04,13.94,0.526
6,2007,1.2324307,41.875,13,-0.37,14.055,-0.155
6,2008,1.2788393,64.25,45,-2.11,12.283,0.142
6,2009,0.37008104,37,34,-0.85,13.457,0.751
6,2010,1.2382194,44.75,27,-0.93,13.473,-0.228
6,2011,1.113308,48.625,24,-1.32,NA,-0.003
6,2012,1.9381592,40.625,7,-1.43,14.278,0.842
6,2013,0.7265816,47.25,14,-1.25,14.174,-0.094
6,2014,-0.4166303,96.375,60,-0.32,13.533,1.046
6,2015,-1.2495428,88.5,121,0.7,12.536,2.097
6,2016,-0.95813125,66.375,57,0.81,14.251,1.053
