County,National.Database.Number,Field.Number,Nmfs.Regional.Number,Confidence.Code,Common.Name,Genus,Species,Report.Status,Examiner.Name,Affiliation,Stranding.Agreement.Authority,Region,Country,City,State,Body.of.Water,Locality.Detail,Latitude,Latitude.Units,Latitude.Actual.Estimate,Longitude,Longitude.Units,Longitude.Actual.Estimate,How.lat.long.determined,Restrand,Findings.of.Human.Interaction,Observation.Date,Year.of.Observation,Month.of.Observation,Day.of.Observation,How.Observed,Obs.Date.estimate.explaination,Observation.Date.Act.Est,Observation.Status,Not.Able.to.Examine,Date.of.Examination,Year.of.Examination,Month.of.Examination,Day.of.Examination,Condition.at.Examination,Left.at.Site,Sex,Age.Class,Length,Length.Units,Length.actual.estimate,Weight,Weight.Units,Date.of.Necropsy,Year.of.Necropsy,Month.of.Necropsy,Day.of.Necropsy,Stranding.Necropsied.By,Additional.Remarks,Cetacean.Common.Name,Water.Body,mean_lat,mean_long,Long_error,Lat_error,long_corr,lat_corr
Clallam,NW-2006-1058215,06-CM-009,06NWR03005,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Public,citizen caller,citizen caller,NW,United States,Rialto Beach,WA,Pacific Ocean,half-way between Rialto parking lot and Ellyns Creek,NA,NA,NA,NA,NA,NA,NA,N,CBD,2006-MAR-16,2006,MAR,16,Beach or Land,NA,NA,Moderate Decomposition,N,2006-MAR-16,2006,MAR,16,Moderate Decomposition,N,Unid,Unid,0,cm,estimate,NA,NA,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,4.82E+14,-1.24E+14,NA,NA,-1.24E+14,4.82E+14
Clallam,NW-2006-1058221,06-CM-011,06NWR04018,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Agency Biologist,Olympic Coast National Marine Sanctuary,Olympic Coast National Marine Sanctuary,NW,United States,Port Angeles,WA,Strait of Juan de Fuca,Ediz Hook,NA,NA,NA,NA,NA,NA,NA,N,CBD,2006-APR-10,2006,APR,10,NA,NA,NA,Fresh Dead,N,2006-APR-24,2006,APR,24,Advanced Decomposition,N,Unid,Unid,0,cm,estimate,NA,NA,NA,NA,NA,NA,NA,originally reported fresh dead by citizen on 4-10-06; no response at that time; Ed Bowlby (OCNMS biologist) examined animal on 4-24-06 (very decomposed),Harbor porpoise,Inland_WA,4.82E+14,-1.24E+14,NA,NA,-1.24E+14,4.82E+14
Clallam,NW-2006-1058411,Pp-NPP-06-01,06NWR05033,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Agency Biologist,Makah Fisheries Management,Makah Fisheries Management,NW,United States,Clallam Bay,WA,Strait of Juan de Fuca,mouth of Clallam River,NA,deg/min/sec,actual,-124.15,deg/min/sec,actual,Internet,N,CBD,2006-MAY-13,2006,MAY,13,Beach or Land,NA,NA,Condition Unknown,N,2006-MAY-18,2006,MAY,18,Advanced Decomposition,N,Unid,Unid,45,in,estimate,NA,NA,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,4.82E+14,-1.24E+14,-0.046525701,NA,-12415,4.82E+14
Clallam,NW-2006-1058417,OLYM-2006-05,06NWR050035,Confirmed - Minimum,"Porpoise, Dalls",Phocoenoides,dalli,Validated,Public,Olympic National Park,Olympic National Park,NW,United States,Olympic National Park,WA,NA,just N of Tskawahyah Island on the Ozette Reservation,NA,NA,NA,NA,NA,NA,NA,N,CBD,2006-MAY-14,2006,MAY,14,Beach or Land,NA,NA,Fresh Dead,Y,NA,NA,NA,NA,NA,N,Unid,Subadult,48,in,estimate,NA,NA,NA,NA,NA,NA,NA,"reported by park visitor; reported as ""baby killer whale""; white on bottom; black on back; 4-5 ft. long; teeth all the way around; horizontal tail fin; freshly washed up, but being eaten by eagles (small hole developing)",Dalls porpoise,Inland_WA,4.82E+14,-1.24E+14,NA,NA,-1.24E+14,4.82E+14
Clallam,NW-2006-1058649,MBHPp042706,06NWR04031,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Volunteer Organization,Olympic Coast National Marine Sanctuary,Olympic Coast National Marine Sanctuary,NW,United States,Sequim,WA,Strait of Juan de Fuca,Diamond Point,NA,deg/min/sec,actual,-122.55,deg/min/sec,actual,Internet,N,N,2006-APR-27,2006,APR,27,Beach or Land,NA,NA,Fresh Dead,N,2006-APR-27,2006,APR,27,Fresh Dead,N,Male,Subadult,135,cm,actual,NA,NA,2006-JUN-21,2006,JUN,21,Raverty and Hanson,NA,Harbor porpoise,Inland_WA,4.82E+14,-1.24E+14,-1.646525701,NA,-1.24E+14,4.82E+14
Clallam,NW-2006-1058225,060412-JST-PHPH,06NWR04020,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Agency Biologist,NA,Jamestown S'Klallam Tribe,NW,United States,Blyn,WA,Strait of Juan de Fuca,Toe of Sequim Bay behind Jamestown Tribal Center,NA,deg/min/sec,actual,-122.59,deg/min/sec,actual,GPS,N,N,2006-APR-12,2006,APR,12,Beach or Land,NA,NA,Alive,N,2006-APR-13,2006,APR,13,Fresh Dead,Y,Female,Adult,188,cm,actual,150,lb,NA,NA,NA,NA,NA,stuck in tideland flats for several hours; unable to reach animal without sinking in mud,Harbor porpoise,Inland_WA,4.82E+14,-1.24E+14,-1.606525701,NA,-1.24E+14,4.82E+14
Clallam,NW-2006-1060489,CRC-755,06NWR07063,Confirmed - Medium Report,"Whale, gray",Eschrichtius,robustus,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,United States,Ozette,WA,Pacific Ocean,"Duk Point, near Ozette",NA,decimal degrees,actual,-124,decimal degrees,actual,GPS,N,N,2006-JUL-18,2006,JUL,18,NA,NA,NA,Condition Unknown,N,2006-JUL-19,2006,JUL,19,Moderate Decomposition,N,Male,Yearling,918,cm,actual,0,lb,2006-JUL-19,2006,JUL,19,Cascadia Research,NA,Gray whale,Inland_WA,4.82E+14,-1.24E+14,-0.196525701,NA,-124,4.82E+14
Clallam,NW-2000-1023396,mbhPd20003,NMFSNW-122,NA,"Porpoise, Dalls",Phocoenoides,dalli,Validated,NMML,NA,Unknown,NW,United States,Dungeness Spit,WA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,2000-JAN-06,2000,JAN,6,NA,NA,NA,Fresh Dead,N,2001-APR-05,2001,APR,5,Advanced Decomposition,N,Male,Unid,155,cm,actual,NA,kg,NA,NA,NA,NA,Unknown,B. Lagerquist called number twice that day. No answer.,Dalls porpoise,Inland_WA,4.82E+14,-1.24E+14,NA,NA,-1.24E+14,4.82E+14
Clallam,NW-2003-1000776,DNG-03-002,03NWR05003,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Agency Biologist,USFWS,USFWS,NW,United States,Sequim,WA,Strait of Juan de Fuca,1 mile S of Dungeness Spit,NA,NA,NA,NA,NA,NA,NA,NA,CBD,2003-MAY-04,2003,MAY,4,Beach or Land,NA,NA,Moderate Decomposition,N,2003-MAY-08,2003,MAY,8,Moderate Decomposition,N,Female,Adult,200,cm,estimate,NA,kg,NA,NA,NA,NA,NA,"head only was CT scanned 7/20/03, but not necropsied",Harbor porpoise,Inland_WA,4.82E+14,-1.24E+14,NA,NA,-1.24E+14,4.82E+14
Clallam,NW-2003-1000780,DNG-03-001,03NWR05007,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,"Other (see ""Remarks"")",USFWS,USFWS,NW,United States,Sequim,WA,Strait of Juan de Fuca,Dungeness National Wildlife Refuge,NA,NA,NA,NA,NA,NA,NA,NA,CBD,2003-MAY-06,2003,MAY,6,Beach or Land,NA,NA,Fresh Dead,N,2003-MAY-06,2003,MAY,6,Fresh Dead,N,Female,Subadult,145.5,cm,actual,38.5,kg,2003-JUL-22,2003,JUL,22,"Raverty, Gaydos, Norman, Fleetwood",was CT scanned 7/20/03,Harbor porpoise,Inland_WA,4.82E+14,-1.24E+14,NA,NA,-1.24E+14,4.82E+14
