"County","National.Database.Number","Field.Number","HI","Nmfs.Regional.Number","Confidence.Code","Common.Name","Genus","Species","Report.Status","Examiner.Name","Affiliation","Stranding.Agreement.Authority","Region","Country","City","State","Body.of.Water","Locality.Detail","Latitude","Latitude.Units","Latitude.Actual.Estimate","Longitude","Longitude.Units","Longitude.Actual.Estimate","How.lat.long.determined","Restrand","Findings.of.Human.Interaction","Observation.Date","Year.of.Observation","Month.of.Observation","Day.of.Observation","How.Observed","Obs.Date.estimate.explaination","Observation.Date.Act.Est","Observation.Status","Not.Able.to.Examine","Date.of.Examination","Year.of.Examination","Month.of.Examination","Day.of.Examination","Condition.at.Examination","Left.at.Site","Sex","Age.Class","Length","Length.Units","Length.actual.estimate","Weight","Weight.Units","Date.of.Necropsy","Year.of.Necropsy","Month.of.Necropsy","Day.of.Necropsy","Stranding.Necropsied.By","Additional.Remarks","Cetacean.Common.Name","Water.Body","Long_error","Lat_error","long_corr","lat_corr","mean_lat","mean_long"
"Clallam","NW-2000-1023709","MBHPp20001",NA,"NMFSNW-1505","NA","Porpoise, harbor","Phocoena","phocoena","Validated","Park Ranger","NA","NA","NW","United States","Rialto Beach","WA","Pacific Ocean","1/3 mile N of Hole in the Wall",47.95237,"dd.dddd","NA",-124.663,"dd.dddd","NA","NA","NA","N","2000-AUG-12",2000,"AUG","12","NA","NA","NA","Fresh Dead","N","2000-AUG-19","2000","AUG","19","Advanced Decomposition","N","Male","Unid","116","cm","actual","NA","kg","NA","NA","NA","NA","NA","NA","Harbor porpoise","Inland_WA",0.75528222222222,0.196555444444442,-124.663,47.95237,48.1489254444444,-123.907717777778
"Clallam","NW-2012-1143148","MKH2012-012",NA,"12NWR05014","Confirmed- High Report","Porpoise, harbor","Phocoena","phocoena","Validated","Adrianne Akmajian","Makah Fisheries Management","Makah Fisheries Management","NW","United States","Port Angeles","WA","Strait of Juan de Fuca","Ediz Hook",48.1378,"dd.dddd","NA",-124.439,"dd.dddd","NA","GPS","N","N","2012-MAY-14",2012,"MAY","14","Beach or Land","NA","NA","Fresh Dead","N","2012-MAY-14","2012","MAY","14","Fresh Dead","N","Male","Adult","155","cm","Actual","51.5","kg","2012-MAY-15","2012","MAY","15","MFM","Reported by the public to Rich Osborne (Juan de Fuca Marine Mammal Stranding Network) on 14-May-12. Porpoise was half way down the inside of Ediz Hook, at waterline. Bob Campbell (Feiro Marine Life Center) responded at scene and took photographs and measurements. Adrianne Akmajian (Makah Fisheries) met Bob at the scene and collected the carcass for necropsy. Adrianne transported the carcass to the WDFW lab in Lakewood, WA to perform the necropsy. Necropsy performed at WDFW based on desire to take sterile brain samples in culture media (primarily to test for protozoal parasites) which we do not have the capacity for at the Makah lab.","Harbor porpoise","Inland_WA",0.531282222222231,0.0111254444444455,-124.439,48.1378,48.1489254444444,-123.907717777778
"Clallam","NW-2014-1176979","JDF22JULY14A",NA,"14NWR07135","Confirmed - Minimum","Porpoise, harbor","Phocoena","phocoena","Validated","Public","Feiro Marine Life Center","Feiro Marine Life Center","NW","United States","Sequim","WA","Pacific Ocean","S of Pt Williams boat ramp",48.09648,"dd.dddd","estimate",-123.0464,"dd.dddd","estimate","Internet","N","CBD","2014-JUL-22",2014,"JUL","22","NA","NA","NA","Alive","Y","NA","NA","NA","NA","NA","Y","Unid","Calf","30","in","estimate","NA","NA","NA","NA","NA","NA","NA","Called in on MMSN hotline. No visible signs of injury","Harbor porpoise","Inland_WA",-0.861317777777771,0.0524454444444444,-123.0464,48.09648,48.1489254444444,-123.907717777778
"Clallam","NW-2014-1159518","14-CL-022",NA,"14NWR06047","Confirmed - Medium Report","Porpoise, harbor","Phocoena","phocoena","Validated","Coast Guard","USCG","USCG","NW","United States","Port Angeles","WA","Pacific Ocean","Straight of Juan de Fuca",48.14184,"dd.dddd","estimate",-123.4347,"dd.dddd","estimate","NA","N","CBD","2014-JUN-09",2014,"JUN","9","Beach or Land","NA","NA","Advanced Decomposition","N","2014-JUN-09","2014","JUN","9","Advanced Decomposition","N","Unid","Adult","60","in","estimate","150","lb","NA","NA","NA","NA","NA","NA","Harbor porpoise","Inland_WA",-0.47301777777777,0.00708544444444215,-123.4347,48.14184,48.1489254444444,-123.907717777778
"Clallam","NW-2011-1140055","CRC-1162",NA,"11NWR07091","Confirmed- High Report","Porpoise, harbor","Phocoena","phocoena","Validated","Jessie Huggins","Cascadia Research","Cascadia Research","NW","United States","Forks","WA","Pacific Ocean","Kalaloch Campground",47.613,"dd.dddd","NA",-124.376,"dd.dddd","NA","Internet/Software","N","CBD","2011-JUL-07",2011,"JUL","7","Beach or Land","NA","NA","Moderate Decomposition","Y","NA","NA","NA","NA","Moderate Decomposition","N","Male","Adult","5","ft","Estimated","100","lb","NA","NA","NA","NA","NA","no response based on condition of animal","Harbor porpoise","Inland_WA",0.468282222222214,0.535925444444445,-124.376,48.1489254444444,48.1489254444444,-123.907717777778
"Clallam","NW-2009-1103141","09-CM-032",NA,"09NWR08042","Confirmed - Medium Report","Porpoise, harbor","Phocoena","phocoena","Validated","Olympic Nat. Park","Olympic National Park","Olympic National Park","NW","United States","Ozette","WA","Pacific Ocean","Sand Point",48.12531,"dd.dddd","estimate",-124.7102,"dd.dddd","estimate","Internet","N","CBD","2009-AUG-11",2009,"AUG","11","Beach or Land","NA","NA","Moderate Decomposition","Y","NA","NA","NA","NA","NA","N","Unid","Adult","60","in","estimate","150","lb","NA","NA","NA","NA","NA","NA","Harbor porpoise","Inland_WA",0.802482222222238,0.0236154444444452,-124.7102,48.12531,48.1489254444444,-123.907717777778
"Clallam","NW-2001-1024227","Dng-01-002",NA,"NMFSNW-1979","NA","Porpoise, harbor","Phocoena","phocoena","Validated","NMFS","NA","Unknown","NW","United States","Sequim","WA","Strait of Juan de Fuca","Dungeness Spit",48.1687,"dd.dddd","NA",-123.1593,"dd.dddd","NA","NA","NA","N","2001-JAN-07",2001,"JAN","7","NA","NA","NA","Fresh Dead","N","2001-JAN-17","2001","JAN","17","Advanced Decomposition","N","Male","Unid","155","cm","actual","350","lb","NA","NA","NA","NA","Unknown","NA","Harbor porpoise","Inland_WA",-0.748417777777789,-0.0197745555555571,-123.1593,48.1687,48.1489254444444,-123.907717777778
"Clallam","NW-2001-1025951","Dng-01-004",NA,"NMFSNW-3556","NA","Porpoise, harbor","Phocoena","phocoena","Validated","NMML","NA","Unknown","NW","United States","Sequim","WA","Strait of Juan de Fuca","4-mile marker; Strait side; Dungeness Spit",48.1762,"dd.dddd","NA",-123.1343,"dd.dddd","NA","NA","NA","N","2001-MAY-13",2001,"MAY","13","NA","NA","NA","Fresh Dead","N","2001-MAY-14","2001","MAY","14","Moderate Decomposition","N","Female","Unid","1010","cm","actual","NA","kg","NA","NA","NA","NA","Unknown","call taken & form completed by Pam Sanguinetti - USFWS agent","Harbor porpoise","Inland_WA",-0.77341777777778,-0.0272745555555574,-123.1343,48.1762,48.1489254444444,-123.907717777778
"Clallam","NW-2001-1026274","NW-3877",NA,"NA","NA","Porpoise, harbor","Phocoena","phocoena","Validated","NMML","NA","Unknown","NW","United States","Port Angeles","WA","Strait of Juan de Fuca","NE end of Ediz Hook; USCG station",48.1406,"dd.dddd","NA",-123.4023,"dd.dddd","NA","NA","NA","N","2001-MAY-17",2001,"MAY","17","NA","NA","NA","Fresh Dead","N","2001-MAY-17","2001","MAY","17","Moderate Decomposition","N","Male","Unid","135","cm","actual","90","lb","NA","NA","NA","NA","Unknown","NA","Harbor porpoise","Inland_WA",-0.50541777777778,0.00832544444444494,-123.4023,48.1406,48.1489254444444,-123.907717777778
"Clallam","NW-2001-1045713","MBH2001-Pp001",NA,"01NWR03005","Confirmed - High Report","Porpoise, harbor","Phocoena","phocoena","Validated","WDFW","Washington Department of Fish and Wildlife","Washington Department of Fish and Wildlife","NW","United States","NA","WA","Strait of Juan de Fuca","1/2 way between Pillar Point and Slip Point",48.2471,"dd.dddd","NA",-124.1783,"dd.dddd","NA","NA","N","CBD","2001-MAR-19",2001,"MAR","19","Floating","NA","NA","Fresh Dead","N","2001-MAR-19","2001","MAR","19","Fresh Dead","N","Female","Subadult","149","cm","actual","NA","NA","2001-JUN-01","2001","JUN","1","Walker, B. and Hanson, B.","NA","Harbor porpoise","Inland_WA",0.270582222222203,-0.0981745555555591,-124.1783,48.2471,48.1489254444444,-123.907717777778
