County,National.Database.Number,Field.Number,HI,Nmfs.Regional.Number,Confidence.Code,Common.Name,Genus,Species,Report.Status,Examiner.Name,Affiliation,Stranding.Agreement.Authority,Region,Country,City,State,Body.of.Water,Locality.Detail,Latitude,Latitude.Units,Latitude.Actual.Estimate,Longitude,Longitude.Units,Longitude.Actual.Estimate,How.lat.long.determined,Restrand,Findings.of.Human.Interaction,Observation.Date,Year.of.Observation,Month.of.Observation,Day.of.Observation,How.Observed,Obs.Date.estimate.explaination,Observation.Date.Act.Est,Observation.Status,Not.Able.to.Examine,Date.of.Examination,Year.of.Examination,Month.of.Examination,Day.of.Examination,Condition.at.Examination,Left.at.Site,Sex,Age.Class,Length,Length.Units,Length.actual.estimate,Weight,Weight.Units,Date.of.Necropsy,Year.of.Necropsy,Month.of.Necropsy,Day.of.Necropsy,Stranding.Necropsied.By,Additional.Remarks,Cetacean.Common.Name,Water.Body,mean_lat,mean_long,Long_error,Lat_error,long_corr,lat_corr
Clallam,NW-2000-1023709,MBHPp20001,,NMFSNW-1505,NA,"Porpoise, harbor",Phocoena,phocoena,Validated,Park Ranger,NA,NA,NW,United States,Rialto Beach,WA,Pacific Ocean,1/3 mile N of Hole in the Wall,47.95237,dd.dddd,NA,-124.6630,dd.dddd,NA,NA,NA,N,2000-AUG-12,2000,AUG,12,NA,NA,NA,Fresh Dead,N,2000-AUG-19,2000,AUG,19,Advanced Decomposition,N,Male,Unid,116,cm,actual,NA,kg,NA,NA,NA,NA,NA,NA,Harbor porpoise,WA_Coast,4.82E+14,-1.24E+14,-0.196525701,NA,-124,4.82E+14
Grays Harbor,NW-2000-1027178,MMP00-10,,NMFSNW-4734,NA,"Porpoise, harbor",Phocoena,phocoena,Validated,WDFW,NA,Unknown,NW,United States,Ocean Shores,WA,Pacific Ocean,NA,47.03013,dd.dddd,NA,-124.1753,dd.dddd,NA,NA,NA,N,2000-MAR-17,2000,MAR,17,NA,NA,NA,Fresh Dead,N,2000-MAR-17,2000,MAR,17,Fresh Dead,N,Female,Unid,176,cm,actual,NA,kg,NA,NA,NA,NA,NA,NA,Harbor porpoise,WA_Coast,4.71E+14,-1.24E+14,NA,NA,-1.24E+14,4.71E+14
San Juan,NW-2000-1023633,2000-SJ017,,NMFSNW-1435,NA,"Porpoise, harbor",Phocoena,phocoena,Validated,Whale Museum,NA,Unknown,NW,United States,Lopez Island,WA,San Juan Channel,West Beach; ~1.5 miles south of Otis Perkins Beach at high tide line,48.50450,dd.dddd,NA,-122.9358,dd.dddd,NA,NA,NA,N,2000-MAR-29,2000,MAR,29,NA,NA,NA,Fresh Dead,N,2000-MAR-30,2000,MAR,30,Advanced Decomposition,N,Unid,Unid,43,cm,actual,30,in,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,4.85E+14,-1.23E+14,NA,NA,-1.23E+14,4.85E+14
San Juan,NW-2000-1023596,2000SJ007,,NMFSNW-1401,NA,"Porpoise, harbor",Phocoena,phocoena,Validated,Public,NA,Unknown,NW,United States,San Juan Island,WA,Haro Strait,Off American Camp,48.46050,dd.dddd,NA,-123.0290,dd.dddd,NA,NA,NA,N,2000-APR-14,2000,APR,14,NA,NA,NA,Fresh Dead,N,2000-APR-14,2000,APR,14,Fresh Dead,N,Unid,Unid,NA,cm,actual,NA,kg,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,4.85E+14,-1.23E+14,NA,NA,-1.23E+14,4.85E+14
San Juan,NW-2000-1023568,2000SJO01,,NMFSNW-1377,NA,"Porpoise, harbor",Phocoena,phocoena,Validated,R. Osborne,NA,Whale Museum,NW,United States,San Juan Island,WA,Spieden Channel,5608 Davison Head Dr. on Spieden Channel,48.62360,dd.dddd,NA,-123.1449,dd.dddd,NA,NA,NA,N,2000-JAN-29,2000,JAN,29,NA,NA,NA,Fresh Dead,N,2000-JAN-30,2000,JAN,30,Moderate Decomposition,N,Female,Unid,56,cm,estimate,NA,in,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,4.85E+14,-1.23E+14,0.085798562,NA,-123,4.85E+14
Whatcom,NW-2000-1023743,NW-1537,Confirmed,NMFSNW-1537,NA,"Porpoise, harbor",Phocoena,phocoena,Validated,F/EN6,NA,NMFS Enforcement NW,NW,United States,Bellingham,WA,Squalicum Harbor,found in entrance to Squalicum Harbor,48.75390,dd.dddd,NA,-122.5064,dd.dddd,NA,NA,NA,Y,2000-AUG-29,2000,AUG,29,NA,NA,NA,Fresh Dead,N,2000-AUG-29,2000,AUG,29,Moderate Decomposition,N,Female,Unid,143,cm,actual,NA,kg,NA,NA,NA,NA,Unknown,NA,Harbor porpoise,Inland_WA,4.88E+13,-12255363235,-0.55363235,NA,-122,4.88E+13
Clallam,NW-2001-1024227,Dng-01-002,,NMFSNW-1979,NA,"Porpoise, harbor",Phocoena,phocoena,Validated,NMFS,NA,Unknown,NW,United States,Sequim,WA,Strait of Juan de Fuca,Dungeness Spit,48.16870,dd.dddd,NA,-123.1593,dd.dddd,NA,NA,NA,N,2001-JAN-07,2001,JAN,7,NA,NA,NA,Fresh Dead,N,2001-JAN-17,2001,JAN,17,Advanced Decomposition,N,Male,Unid,155,cm,actual,350,lb,NA,NA,NA,NA,Unknown,NA,Harbor porpoise,Inland_WA,4.82E+14,-1.24E+14,NA,NA,-1.24E+14,4.82E+14
Clallam,NW-2001-1025951,Dng-01-004,,NMFSNW-3556,NA,"Porpoise, harbor",Phocoena,phocoena,Validated,NMML,NA,Unknown,NW,United States,Sequim,WA,Strait of Juan de Fuca,4-mile marker; Strait side; Dungeness Spit,48.17620,dd.dddd,NA,-123.1343,dd.dddd,NA,NA,NA,N,2001-MAY-13,2001,MAY,13,NA,NA,NA,Fresh Dead,N,2001-MAY-14,2001,MAY,14,Moderate Decomposition,N,Female,Unid,1010,cm,actual,NA,kg,NA,NA,NA,NA,Unknown,call taken & form completed by Pam Sanguinetti - USFWS agent,Harbor porpoise,Inland_WA,4.82E+14,-1.24E+14,NA,NA,-1.24E+14,4.82E+14
Clallam,NW-2001-1026274,NW-3877,,NA,NA,"Porpoise, harbor",Phocoena,phocoena,Validated,NMML,NA,Unknown,NW,United States,Port Angeles,WA,Strait of Juan de Fuca,NE end of Ediz Hook; USCG station,48.14060,dd.dddd,NA,-123.4023,dd.dddd,NA,NA,NA,N,2001-MAY-17,2001,MAY,17,NA,NA,NA,Fresh Dead,N,2001-MAY-17,2001,MAY,17,Moderate Decomposition,N,Male,Unid,135,cm,actual,90,lb,NA,NA,NA,NA,Unknown,NA,Harbor porpoise,Inland_WA,4.82E+14,-1.24E+14,NA,NA,-1.24E+14,4.82E+14
Clallam,NW-2001-1045713,MBH2001-Pp001,,01NWR03005,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,WDFW,Washington Department of Fish and Wildlife,Washington Department of Fish and Wildlife,NW,United States,NA,WA,Strait of Juan de Fuca,1/2 way between Pillar Point and Slip Point,48.24710,dd.dddd,NA,-124.1783,dd.dddd,NA,NA,N,CBD,2001-MAR-19,2001,MAR,19,Floating,NA,NA,Fresh Dead,N,2001-MAR-19,2001,MAR,19,Fresh Dead,N,Female,Subadult,149,cm,actual,NA,NA,2001-JUN-01,2001,JUN,1,"Walker, B. and Hanson, B.",NA,Harbor porpoise,Inland_WA,4.82E+14,-1.24E+14,NA,NA,-1.24E+14,4.82E+14
Grays Harbor,NW-2001-1026989,CRC - 478,,NMFSNW-4564,NA,"Porpoise, harbor",Phocoena,phocoena,Validated,Cascadia Research,NA,Unknown,NW,United States,Ocean Shores,WA,Pacific Ocean,2 miles N of Ocean City Beach access,47.10991,dd.dddd,NA,-124.1838,dd.dddd,NA,NA,NA,N,2001-JUL-12,2001,JUL,12,NA,NA,NA,Alive,N,2001-JUL-12,2001,JUL,12,Alive,N,Male,Unid,85,cm,actual,12,lb,NA,NA,NA,NA,NA,NA,Harbor porpoise,WA_Coast,4.71E+14,-1.24E+14,NA,NA,-1.24E+14,4.71E+14
Island,NW-2001-1027027,001-01,,001-01,NA,"Porpoise, harbor",Phocoena,phocoena,Validated,M. Klope,NA,NAS Whidbey,NW,United States,Strait of Juan de Fuca,WA,Strait of Juan de Fuca,~1 mile W of Cornet Bay in Strait of Juan de Fuca,48.39510,dd.dddd,NA,-122.6909,dd.dddd,NA,NA,NA,N,2001-APR-27,2001,APR,27,NA,NA,NA,Fresh Dead,N,2001-APR-27,2001,APR,27,Moderate Decomposition,N,Female,Unid,53,cm,actual,84,in,NA,NA,NA,NA,Unknown,NA,Harbor porpoise,Inland_WA,4.81E+14,-1.95E+14,NA,NA,-1.95E+14,4.81E+14
Jefferson,NW-2001-1025124,NW-2789,,NA,NA,"Porpoise, harbor",Phocoena,phocoena,Validated,NMML,NA,Unknown,NW,United States,Port Townsend,WA,Strait of Juan de Fuca,old boat ramp @ North Beach County Park,48.14250,dd.dddd,NA,-122.7821,dd.dddd,NA,NA,NA,N,2001-MAY-02,2001,MAY,2,NA,NA,NA,Fresh Dead,N,2001-MAY-02,2001,MAY,2,Advanced Decomposition,N,Unid,Unid,48,cm,estimate,NA,in,NA,NA,NA,NA,Unknown,NA,Harbor porpoise,Inland_WA,4.78E+14,-1.24E+14,NA,NA,-1.24E+14,4.78E+14
Jefferson,NW-2001-1027015,NW-4588,,NMFSNW-4588,NA,"Porpoise, harbor",Phocoena,phocoena,Validated,M. Brancato,NA,Olympic Coast NMS,NW,United States,Port Townsend,WA,Strait of Juan de Fuca,Twin Beach,48.16500,dd.dddd,NA,-123.9501,dd.dddd,NA,NA,NA,N,2001-AUG-16,2001,AUG,16,NA,NA,NA,Fresh Dead,N,2001-AUG-16,2001,AUG,16,Advanced Decomposition,N,Unid,Unid,30,cm,estimate,NA,in,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,4.78E+14,-1.24E+14,NA,NA,-1.24E+14,4.78E+14
San Juan,NW-2001-1027119,2001-SJ041,,NMFSNW-4681,NA,"Porpoise, harbor",Phocoena,phocoena,Validated,R. Osborne,NA,Whale Museum,NW,United States,San Juan Island,WA,Haro Strait,Yacht Haven,48.58510,dd.dddd,NA,-123.1696,dd.dddd,NA,NA,NA,N,2001-JUL-31,2001,JUL,31,NA,NA,NA,Fresh Dead,N,2001-JUL-31,2001,JUL,31,Advanced Decomposition,N,Female,Unid,62,cm,actual,NA,in,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,4.85E+14,-1.23E+14,NA,NA,-1.23E+14,4.85E+14
San Juan,NW-2001-1027094,2001-SJ005,,NMFSNW-4659,NA,"Porpoise, harbor",Phocoena,phocoena,Validated,Whale Museum,NA,Unknown,NW,United States,San Juan Island,WA,Haro Strait,Andrews Bay; W side of island,48.54920,dd.dddd,NA,-123.1624,dd.dddd,NA,NA,NA,N,2001-MAY-26,2001,MAY,26,NA,NA,NA,Fresh Dead,N,2001-MAY-26,2001,MAY,26,Moderate Decomposition,N,Unid,Unid,NA,cm,actual,NA,kg,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,4.85E+14,-1.23E+14,NA,NA,-1.23E+14,4.85E+14
San Juan,NW-2001-1027093,2001-SJ004,,NMFSNW-4658,NA,"Porpoise, harbor",Phocoena,phocoena,Validated,R. Osborne,NA,Whale Museum,NW,United States,San Juan Island,WA,Haro Strait,Grandma's Cove,48.45890,dd.dddd,NA,-123.0233,dd.dddd,NA,NA,NA,N,2001-MAY-10,2001,MAY,10,NA,NA,NA,Fresh Dead,N,2001-MAY-11,2001,MAY,11,Advanced Decomposition,N,Female,Unid,54,cm,estimate,NA,in,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,4.85E+14,-1.23E+14,NA,NA,-1.23E+14,4.85E+14
San Juan,NW-2001-1027169,2001-SJ060,,NMFSNW-4726,NA,"Porpoise, harbor",Phocoena,phocoena,Validated,Whale Museum,NA,Unknown,NW,United States,Shaw Island,WA,San Juan Channel,NE end of Parks Bay,48.56940,dd.dddd,NA,-122.9803,dd.dddd,NA,NA,NA,N,2001-DEC-27,2001,DEC,27,NA,NA,NA,Fresh Dead,N,2001-DEC-28,2001,DEC,28,Moderate Decomposition,N,Male,Unid,132,cm,actual,75,lb,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,4.85E+14,-1.23E+14,NA,NA,-1.23E+14,4.85E+14
San Juan,NW-2001-1027168,2001-SJ059,,NMFSNW-4725,NA,"Porpoise, harbor",Phocoena,phocoena,Validated,Whale Museum,NA,Unknown,NW,United States,Orcas Island,WA,President's Channel,North Beach,48.71080,dd.dddd,NA,-122.9288,dd.dddd,NA,NA,NA,N,2001-DEC-25,2001,DEC,25,NA,NA,NA,Fresh Dead,N,2001-DEC-26,2001,DEC,26,Moderate Decomposition,N,Male,Unid,47,cm,actual,65,in,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,4.85E+14,-1.23E+14,NA,NA,-1.23E+14,4.85E+14
San Juan,NW-2001-1027092,2001-SJ003,,NMFSNW-4657,NA,"Porpoise, harbor",Phocoena,phocoena,Validated,R. Osborne,NA,Whale Museum,NW,United States,San Juan Island,WA,Haro Strait,floating in Haro Strait near Andrews Bay,48.54700,dd.dddd,NA,-123.1718,dd.dddd,NA,NA,NA,N,2001-MAY-03,2001,MAY,3,NA,NA,NA,Fresh Dead,N,2001-MAY-03,2001,MAY,3,Advanced Decomposition,N,Female,Unid,52,cm,actual,NA,in,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,4.85E+14,-1.23E+14,NA,NA,-1.23E+14,4.85E+14
San Juan,NW-2001-1027091,2001-SJ002,,NMFSNW-4656,NA,"Porpoise, harbor",Phocoena,phocoena,Validated,J. Knight,NA,San Juan County Marine Mammal Stranding Network,NW,United States,Lopez Island,WA,San Juan Channel,Fisherman's Bay Spit,48.52240,dd.dddd,NA,-122.9204,dd.dddd,NA,NA,NA,N,2001-MAY-02,2001,MAY,2,NA,NA,NA,Fresh Dead,N,2001-MAY-02,2001,MAY,2,Advanced Decomposition,N,Female,Unid,57,cm,actual,NA,in,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,4.85E+14,-1.23E+14,NA,NA,-1.23E+14,4.85E+14
Whatcom,NW-2001-1026986,NW-4561,,NMFSNW-4561,NA,"Porpoise, harbor",Phocoena,phocoena,Validated,F/EN5,NA,NMFS Enforcement NW,NW,United States,Mountain View,WA,Puget Sound,just S of Cherry Point Marine docking facility,48.83650,dd.dddd,NA,-122.7130,dd.dddd,NA,NA,NA,Y,2001-JUL-09,2001,JUL,9,NA,NA,NA,Fresh Dead,N,2001-JUL-09,2001,JUL,9,Mummified/Skeletal,N,Unid,Unid,54,cm,estimate,NA,in,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,4.88E+13,-12255363235,NA,NA,-12255363235,4.88E+13
Pacific,,PSU01-07-07-Pp,,,Confirmed - High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,D. Duffield,Portland State University,Portland State University,NW,United States,Ilwaco,WA,Pacific Ocean,northern end of Benson Beach at Cape Disappointment State Park,46.29443,dd.dddd,NA,-124.0759,dd.dddd,NA,GPS,N,CBD,2001-JUL-07,2001,JUL,7,Beach or Land,NA,NA,Moderate Decomposition,N,2001-JUL-07,2001,JUL,7,Moderate Decomposition,N,Male,Unid,91,cm,estimate,NA,in,2012-APR-12,2012,APR,12,D'Alessandro et al.,NA,Harbor porpoise,OR_Coast,,,,,,
