Date,PDO,MEI,Upwellling_39,SST_39
1989-01-01T00:00:00Z,-0.95,-1.103,43.4233,9.904
1989-02-01T00:00:00Z,-1.02,-1.241,20.9377,10.164
1989-03-01T00:00:00Z,-0.83,-1.035,-60.3502,10.627
1989-04-01T00:00:00Z,-0.32,-0.76,31.9483,11.842
1989-05-01T00:00:00Z,0.47,-0.393,79.9911,11.451
1989-06-01T00:00:00Z,0.36,-0.242,85.6068,10.856
1989-07-01T00:00:00Z,0.83,-0.429,143.6646,11.614
1989-08-01T00:00:00Z,0.09,-0.479,112.0781,12.595
1989-09-01T00:00:00Z,0.05,-0.287,51.1964,12.398
1989-10-01T00:00:00Z,-0.12,-0.319,31.9237,12.224
1989-11-01T00:00:00Z,-0.5,-0.058,45.4226,12.579
1989-12-01T00:00:00Z,-0.21,0.131,31.3082,
1990-01-01T00:00:00Z,-0.3,0.243,15.8478,11.525
1990-02-01T00:00:00Z,-0.65,0.573,27.1459,10.814
1990-03-01T00:00:00Z,-0.62,0.951,24.3122,10.639
1990-04-01T00:00:00Z,0.27,0.46,55.6741,11.022
1990-05-01T00:00:00Z,0.44,0.652,85.2798,10.834
1990-06-01T00:00:00Z,0.44,0.511,74.7587,11.429
1990-07-01T00:00:00Z,0.27,0.151,74.439,12.9
1990-08-01T00:00:00Z,0.11,0.145,37.9325,12.807
1990-09-01T00:00:00Z,0.38,0.398,46.8605,15.364
1990-10-01T00:00:00Z,-0.69,0.303,75.8158,11.981
1990-11-01T00:00:00Z,-1.69,0.4,41.1261,11.96
1990-12-01T00:00:00Z,-2.23,0.362,54.8134,10.878
1991-01-01T00:00:00Z,-2.02,0.319,-3.395,10.65
1991-02-01T00:00:00Z,-1.19,0.323,-66.3532,11.367
1991-03-01T00:00:00Z,-0.74,0.399,20.557,10.806
1991-04-01T00:00:00Z,-1.01,0.449,55.3771,10.446
1991-05-01T00:00:00Z,-0.51,0.741,131.4199,9.567
1991-06-01T00:00:00Z,-1.47,1.051,173.6921,9.919
1991-07-01T00:00:00Z,-0.1,1.044,123.4873,11.878
1991-08-01T00:00:00Z,0.36,1.031,40.4406,13.986
1991-09-01T00:00:00Z,0.65,0.778,80.5716,13.459
1991-10-01T00:00:00Z,0.49,1.031,76.622,
1991-11-01T00:00:00Z,0.42,1.202,39.5068,
1991-12-01T00:00:00Z,0.09,1.34,-23.7251,11.654
1992-01-01T00:00:00Z,0.05,1.747,-50.7698,12.08
1992-02-01T00:00:00Z,0.31,1.886,-104.0565,
1992-03-01T00:00:00Z,0.67,1.985,-3.9912,
1992-04-01T00:00:00Z,0.75,2.247,4.2866,
1992-05-01T00:00:00Z,1.54,2.085,132.2617,
1992-06-01T00:00:00Z,1.26,1.735,114.6126,14.537
1992-07-01T00:00:00Z,1.9,1.048,82.1397,13.689
1992-08-01T00:00:00Z,1.44,0.58,81.5611,12.738
1992-09-01T00:00:00Z,0.83,0.518,78.6455,13.36
1992-10-01T00:00:00Z,0.93,0.663,24.4055,14.57
1992-11-01T00:00:00Z,0.93,0.595,18.0295,13.04
1992-12-01T00:00:00Z,0.53,0.664,22.6684,12.34
1993-01-01T00:00:00Z,0.05,0.692,-24.263,11.791
1993-02-01T00:00:00Z,0.19,0.99,-65.1899,
1993-03-01T00:00:00Z,0.76,0.987,-20.2891,
1993-04-01T00:00:00Z,1.21,1.408,17.5247,
1993-05-01T00:00:00Z,2.13,1.993,-28.1669,14.04
1993-06-01T00:00:00Z,2.34,1.616,138.109,11.787
1993-07-01T00:00:00Z,2.35,1.206,168.363,10.837
1993-08-01T00:00:00Z,2.69,1.05,125.9593,12.751
1993-09-01T00:00:00Z,1.56,1.011,81.8375,12.747
1993-10-01T00:00:00Z,1.41,1.09,23.4862,12.795
1993-11-01T00:00:00Z,1.24,0.848,58.9534,12.481
1993-12-01T00:00:00Z,1.07,0.595,-47.1615,12.348
1994-01-01T00:00:00Z,1.21,0.352,-13.4808,12.182
1994-02-01T00:00:00Z,0.59,0.193,-16.7683,12.045
1994-03-01T00:00:00Z,0.8,0.159,20.7789,11.863
1994-04-01T00:00:00Z,1.05,0.465,82.7189,10.916
1994-05-01T00:00:00Z,1.23,0.58,92.4802,10.588
1994-06-01T00:00:00Z,0.46,0.803,104.426,10.475
1994-07-01T00:00:00Z,0.06,0.907,167.9618,10.951
1994-08-01T00:00:00Z,-0.79,0.783,106.979,11.453
1994-09-01T00:00:00Z,-1.36,0.931,62.7157,13.543
1994-10-01T00:00:00Z,-1.32,1.437,85.2593,12.428
1994-11-01T00:00:00Z,-1.96,1.312,38.1769,11.218
1994-12-01T00:00:00Z,-1.79,1.251,-50.2108,11.241
1995-01-01T00:00:00Z,-0.49,1.219,-282.4014,11.597
1995-02-01T00:00:00Z,0.46,0.959,-5.713,12.176
1995-03-01T00:00:00Z,0.75,0.845,-50.8083,12.414
1995-04-01T00:00:00Z,0.83,0.453,43.6716,11.468
1995-05-01T00:00:00Z,1.46,0.57,127.8448,10.549
1995-06-01T00:00:00Z,1.27,0.507,120.2652,9.752
1995-07-01T00:00:00Z,1.71,0.234,88.8624,
1995-08-01T00:00:00Z,0.21,-0.13,142.7865,12.365
1995-09-01T00:00:00Z,1.16,-0.416,60.9588,13.63
1995-10-01T00:00:00Z,0.47,-0.461,106.2776,12.471
1995-11-01T00:00:00Z,-0.28,-0.463,4.6249,13.486
1995-12-01T00:00:00Z,0.16,-0.537,-84.5876,13.727
1996-01-01T00:00:00Z,0.59,-0.597,-17.9701,12.963
1996-02-01T00:00:00Z,0.75,-0.566,-45.7142,13.066
1996-03-01T00:00:00Z,1.01,-0.236,58.3053,11.784
1996-04-01T00:00:00Z,1.46,-0.391,15.6094,11.919
1996-05-01T00:00:00Z,2.18,-0.041,120.9576,10.908
1996-06-01T00:00:00Z,1.1,0.087,182.8316,10.064
1996-07-01T00:00:00Z,0.77,-0.173,154.0869,12.167
1996-08-01T00:00:00Z,-0.14,-0.358,139.2181,11.926
1996-09-01T00:00:00Z,0.24,-0.426,108.7171,12.74
1996-10-01T00:00:00Z,-0.33,-0.338,63.9296,13.08
1996-11-01T00:00:00Z,0.09,-0.134,2.9003,12.446
1996-12-01T00:00:00Z,-0.03,-0.325,-94.8416,12.746
1997-01-01T00:00:00Z,0.23,-0.48,-40.2084,11.984
1997-02-01T00:00:00Z,0.28,-0.605,110.1646,11.477
