"","Cetacean.Common.Name","County","Region","HI","State","Latitude","Longitude","lat_corr","long_corr","Water.Body","Body.of.Water","Year.of.Observation","Age.Class","Sex","Findings.of.Human.Interaction","Month.of.Observation","Season"
"1","Harbor porpoise","Clallam","NW","Confirmed","WA",48.088,-123.0425,48.088,-123.0425,"Inland_WA","Strait of Juan de Fuca",2010,"Subadult","Female","Y","JAN","Winter"
"2","Harbor porpoise","Clallam","NW","Confirmed","WA",48.2761,-124.2934,48.2761,-124.2934,"Inland_WA","Strait of Juan de Fuca",2006,"Adult","Male","Y","AUG","Summer"
"3","Harbor porpoise","Clallam","NW","Confirmed","WA",48.2681,-124.2797,48.2681,-124.2797,"Inland_WA","Strait of Juan de Fuca",2006,"Subadult","Male","Y","AUG","Summer"
"4","Harbor porpoise","Island","NW","Possible","WA",47.994,-122.541,47.994,-122.541,"Inland_WA","Puget Sound",2017,"Calf","Female","CBD","AUG","Summer"
"5","Harbor porpoise","Island","NW","Confirmed","WA",47.58891,-122.3084,48.1453952054795,-122.3084,"Inland_WA","Puget Sound",2012,"Adult","Female","Y","NOV","Fall"
"6","Harbor porpoise","Island","NW","Probable","WA",47.9894,-122.4959,47.9894,-122.4959,"Inland_WA","Puget Sound",2017,"Adult","Male","CBD","JUL","Summer"
"7","Harbor porpoise","Island","NW","Confirmed","WA",48.20153,-122.7365,48.20153,-122.7365,"Inland_WA","Puget Sound",2014,"Yearling","Female","Y","SEP","Fall"
"8","Harbor porpoise","Island","NW","Confirmed","WA",48.032,-122.605,48.032,-122.605,"Inland_WA","Puget Sound",2014,"Calf","Male","Y","SEP","Fall"
"9","Harbor porpoise","Jefferson","NW","Confirmed","WA",47.8649,-122.637,47.8649,-122.637,"Inland_WA","Hood Canal",2009,"Calf","Male","Y","OCT","Fall"
"10","Harbor porpoise","King","NW","Confirmed","WA",47.6168,-122.3581,47.6168,-122.3581,"Inland_WA","Puget Sound",2012,"Adult","Male","Y","OCT","Fall"
"11","Harbor porpoise","King","NW","Confirmed","WA",47.7774,-122.3937,47.7774,-122.3937,"Inland_WA","Puget Sound",2012,"Adult","Female","CBD","DEC","Winter"
"12","Harbor porpoise","King","NW","Probable","WA",47.3207,-124.4146,47.3207,-122.495530769231,"Inland_WA","Puget Sound",2012,"Calf","Male","Y","MAR","Spring"
"13","Harbor porpoise","King","NW","Confirmed","WA",47.578,-122.415,47.578,-122.415,"Inland_WA","Puget Sound",2009,"Subadult","Male","Y","APR","Spring"
"14","Harbor porpoise","King","NW","Confirmed","WA",47.4803,-122.4824,47.4803,-122.4824,"Inland_WA","Puget Sound",2017,"Subadult","Female","Y","OCT","Fall"
"15","Harbor porpoise","Kitsap","NW","Confirmed","WA",47.7448,-122.499,47.7448,-122.499,"Inland_WA","Puget Sound",2012,"Subadult","Female","Y","NOV","Fall"
"16","Harbor porpoise","Kitsap","NW","Confirmed","WA",47.8535,-122.6161,47.8535,-122.6161,"Inland_WA","Hood Canal",2009,"Calf","Female","Y","OCT","Fall"
"17","Harbor porpoise","Kitsap","NW","Confirmed","WA",47.7013,-122.505,47.7013,-122.505,"Inland_WA","Puget Sound",2010,"Adult","Female","Y","OCT","Fall"
"18","Harbor porpoise","Kitsap","NW","Confirmed","WA",47.8316,-122.6367,47.8316,-122.6367,"Inland_WA","Hood Canal",2010,"Subadult","Female","Y","OCT","Fall"
"19","Harbor porpoise","Kitsap","NW","Confirmed","WA",47.663,-122.501,47.663,-122.501,"Inland_WA","Puget Sound",2010,"Calf","Male","Y","OCT","Fall"
