"Cetacean.Common.Name","Month.of.Observation","Year.of.Observation","cnt_all","mean_all","strand_anom_all"
"Bairds beaked whale","JAN",NA,NA,1,NA
"Bairds beaked whale","APR",NA,NA,1,NA
"Bairds beaked whale","MAY",2015,1,1,0
"Bairds beaked whale","AUG",2003,1,1,0
"Bairds beaked whale","NOV",2010,1,1,0
"Blainvilles beaked whale","OCT",NA,NA,1,NA
"Bottlenose dolphin","JAN",NA,NA,1,NA
"Bottlenose dolphin","JUN",NA,NA,1,NA
"Bottlenose dolphin","JUL",2012,1,1,0
"Cuviers beaked whale","JAN",2006,1,1,0
"Cuviers beaked whale","MAR",2002,1,1,0
"Cuviers beaked whale","APR",2001,1,1,0
"Cuviers beaked whale","MAY",2008,2,2,0
"Cuviers beaked whale","JUL",2007,1,1,0
"Cuviers beaked whale","JUL",2013,1,1,0
"Cuviers beaked whale","NOV",2005,1,1,0
"Cuviers beaked whale","NOV",2006,1,1,0
"Dalls porpoise","JAN",2002,1,1.25,-0.25
"Dalls porpoise","FEB",2003,1,1.4,-0.4
"Dalls porpoise","FEB",2004,1,1.4,-0.4
"Dalls porpoise","FEB",2014,1,1.4,-0.4
"Dalls porpoise","MAR",2004,1,2,-1
"Dalls porpoise","APR",2016,1,1.33333333333333,-0.333333333333333
"Dalls porpoise","MAY",2005,1,1.7,-0.7
"Dalls porpoise","MAY",2017,2,1.7,0.3
"Dalls porpoise","JUN",2001,2,1.16666666666667,0.833333333333333
"Dalls porpoise","JUN",2014,1,1.16666666666667,-0.166666666666667
"Dalls porpoise","JUN",2007,1,1.16666666666667,-0.166666666666667
"Dalls porpoise","JUL",2005,1,1.44444444444444,-0.444444444444444
"Dalls porpoise","JUL",2001,1,1.44444444444444,-0.444444444444444
"Dalls porpoise","JUL",2012,1,1.44444444444444,-0.444444444444444
"Dalls porpoise","JUL",2000,2,1.44444444444444,0.555555555555556
"Dalls porpoise","JUL",2018,1,1.44444444444444,-0.444444444444444
"Dalls porpoise","JUL",2002,1,1.44444444444444,-0.444444444444444
"Dalls porpoise","AUG",2014,2,1.3,0.7
"Dalls porpoise","AUG",2015,2,1.3,0.7
