MEI,NPGO,PDO,SST_39,SST_44,Upwelling_39,Upwelling_45,Wind_39,Wind_44,ENSO_cat,MEI_lag1,NPGO_lag1,PDO_lag1,SST_39_lag1,SST_44_lag1,Upwelling_39_lag1,Upwelling_45_lag1,Wind_39_lag1,Wind_44_lag1,ENSO_cat_lag1,MEI_lag2,NPGO_lag2,PDO_lag2,SST_39_lag2,SST_44_lag2,Upwelling_39_lag2,Upwelling_45_lag2,Wind_39_lag2,Wind_44_lag2,ENSO_cat_lag2,MEI_lag3,NPGO_lag3,PDO_lag3,SST_39_lag3,SST_44_lag3,Upwelling_39_lag3,Upwelling_45_lag3,Wind_39_lag3,Wind_44_lag3,ENSO_cat_lag3,SST_39_anom,SST_44_anom,SST_39_anom_lag1,SST_44_anom_lag1,SST_39_anom_lag2,SST_44_anom_lag2,SST_39_anom_lag3,SST_44_anom_lag3,CBA_North,CBA_South,CBA_North_lag1,CBA_South_lag1,CBA_North_lag2,CBA_South_lag2,CBA_North_lag3,CBA_South_lag3,Month.of.Observation,Year.of.Observation
-0.973,1.1788208,-2.23,11.982,10.727,64.995,-76.3936,-2.72245,-0.597683,La Nina,-0.953,1.3049656,-1.53,NA,NA,161.9507,55.52,-2.51394,-4.651003,La Nina,-0.745,1.4334654,-0.96,NA,NA,138.1575,38.9882,-3.87893,-1.760959,La Nina,-0.507,1.3811213,-0.66,NA,NA,231.7661,63.8058,-3.49582,-3.64866,La Nina,-0.858115385,-2.187521739,NA,NA,NA,NA,NA,NA,-0.075414814,-0.5485003,0.5699431,-0.185748,-0.029188087,-0.32070073,0.03594151,-0.24445231,JAN,2000
-1.05,1.3205504,-2.05,12.62,11.105,-138.3826,-189.236,1.94643,5.391176,La Nina,-0.973,1.1788208,-2.23,11.982,10.727,64.995,-76.3936,-2.72245,-0.597683,La Nina,-0.953,1.3049656,-1.53,NA,NA,161.9507,55.52,-2.51394,-4.651003,La Nina,-0.745,1.4334654,-0.96,NA,NA,138.1575,38.9882,-3.87893,-1.760959,La Nina,-0.129615385,-0.865958333,-0.858115385,-2.187521739,NA,NA,NA,NA,0.30914223,-0.15446927,-0.075414814,-0.5485003,0.5699431,-0.185748,-0.029188087,-0.32070073,FEB,2000
-1.161,1.0528054,-1.63,11.502,10.505,39.6248,-124.471,-3.28,2.460916,La Nina,-1.05,1.3205504,-2.05,12.62,11.105,-138.3826,-189.236,1.94643,5.391176,La Nina,-0.973,1.1788208,-2.23,11.982,10.727,64.995,-76.3936,-2.72245,-0.597683,La Nina,-0.953,1.3049656,-1.53,NA,NA,161.9507,55.52,-2.51394,-4.651003,La Nina,-0.744076923,-0.556,-0.129615385,-0.865958333,-0.858115385,-2.187521739,NA,NA,0.21870416,-0.4218449,0.30914223,-0.15446927,-0.075414814,-0.5485003,0.5699431,-0.185748,MAR,2000
-1.139,1.4045384,-2,10.714,9.65,-56.5364,-148.5527,1.49351,2.879367,La Nina,-1.161,1.0528054,-1.63,11.502,10.505,39.6248,-124.471,-3.28,2.460916,La Nina,-1.05,1.3205504,-2.05,12.62,11.105,-138.3826,-189.236,1.94643,5.391176,La Nina,-0.973,1.1788208,-2.23,11.982,10.727,64.995,-76.3936,-2.72245,-0.597683,La Nina,-0.93416,-0.706333333,-0.744076923,-0.556,-0.129615385,-0.865958333,-0.858115385,-2.187521739,-0.37079966,-0.27302754,0.21870416,-0.4218449,0.30914223,-0.15446927,-0.075414814,-0.5485003,APR,2000
-1.207,2.123531,-0.83,11.356,9.953,-139.8682,-125.2014,3.891,2.807547,La Nina,-1.139,1.4045384,-2,10.714,9.65,-56.5364,-148.5527,1.49351,2.879367,La Nina,-1.161,1.0528054,-1.63,11.502,10.505,39.6248,-124.471,-3.28,2.460916,La Nina,-1.05,1.3205504,-2.05,12.62,11.105,-138.3826,-189.236,1.94643,5.391176,La Nina,-0.071333333,-0.185736842,-0.93416,-0.706333333,-0.744076923,-0.556,-0.129615385,-0.865958333,-0.8508392,-0.33052608,-0.37079966,-0.27302754,0.21870416,-0.4218449,0.30914223,-0.15446927,MAY,2000
-1.112,2.1492677,0.29,10.299,9.883,156.329,-51.4247,-4.38084,0.360516,La Nina,-1.207,2.123531,-0.83,11.356,9.953,-139.8682,-125.2014,3.891,2.807547,La Nina,-1.139,1.4045384,-2,10.714,9.65,-56.5364,-148.5527,1.49351,2.879367,La Nina,-1.161,1.0528054,-1.63,11.502,10.505,39.6248,-124.471,-3.28,2.460916,La Nina,-0.916666667,-0.2329,-0.071333333,-0.185736842,-0.93416,-0.706333333,-0.744076923,-0.556,0.121922225,-0.36338356,-0.8508392,-0.33052608,-0.37079966,-0.27302754,0.21870416,-0.4218449,JUN,2000
-0.479,2.3652706,0.35,11.082,10.603,32.6887,-6.3377,-1.26938,-0.08429,La Nina,-1.112,2.1492677,0.29,10.299,9.883,156.329,-51.4247,-4.38084,0.360516,La Nina,-1.207,2.123531,-0.83,11.356,9.953,-139.8682,-125.2014,3.891,2.807547,La Nina,-1.139,1.4045384,-2,10.714,9.65,-56.5364,-148.5527,1.49351,2.879367,La Nina,0.098958333,-0.13565,-0.916666667,-0.2329,-0.071333333,-0.185736842,-0.93416,-0.706333333,-0.21857624,-0.31640437,0.121922225,-0.36338356,-0.8508392,-0.33052608,-0.37079966,-0.27302754,JUL,2000
0.169,2.220292,-0.05,11.07,12.315,176.3539,4.0163,-3.74296,-0.274684,El Nino,-0.479,2.3652706,0.35,11.082,10.603,32.6887,-6.3377,-1.26938,-0.08429,La Nina,-1.112,2.1492677,0.29,10.299,9.883,156.329,-51.4247,-4.38084,0.360516,La Nina,-1.207,2.123531,-0.83,11.356,9.953,-139.8682,-125.2014,3.891,2.807547,La Nina,0.001956522,0.021954545,0.098958333,-0.13565,-0.916666667,-0.2329,-0.071333333,-0.185736842,-0.28476733,-0.22798447,-0.21857624,-0.31640437,0.121922225,-0.36338356,-0.8508392,-0.33052608,AUG,2000
-0.053,2.1020663,-0.44,11.615,12.192,202.8332,51.5571,-2.729,-3.72636,La Nina,0.169,2.220292,-0.05,11.07,12.315,176.3539,4.0163,-3.74296,-0.274684,El Nino,-0.479,2.3652706,0.35,11.082,10.603,32.6887,-6.3377,-1.26938,-0.08429,La Nina,-1.112,2.1492677,0.29,10.299,9.883,156.329,-51.4247,-4.38084,0.360516,La Nina,0.56412,-1.499136364,0.001956522,0.021954545,0.098958333,-0.13565,-0.916666667,-0.2329,0.20340729,-0.21489106,-0.28476733,-0.22798447,-0.21857624,-0.31640437,0.121922225,-0.36338356,SEP,2000
-0.184,1.655785,-0.66,11.158,12.752,232.0018,43.1225,-4.75681,-2.477297,La Nina,-0.053,2.1020663,-0.44,11.615,12.192,202.8332,51.5571,-2.729,-3.72636,La Nina,0.169,2.220292,-0.05,11.07,12.315,176.3539,4.0163,-3.74296,-0.274684,El Nino,-0.479,2.3652706,0.35,11.082,10.603,32.6887,-6.3377,-1.26938,-0.08429,La Nina,-0.722869565,-0.952590909,0.56412,-1.499136364,0.001956522,0.021954545,0.098958333,-0.13565,0.30599985,-0.13856898,0.20340729,-0.21489106,-0.28476733,-0.22798447,-0.21857624,-0.31640437,OCT,2000
