"sci_name","cnt","perc"
"Phocoena phocoena",1077,0.631
"Eschrichtius robustus",170,0.1
"Phocoenoides dalli",99,0.058
"NA NA",75,0.044
"Stenella coeruleoalba",57,0.033
"Megaptera novaeangliae",43,0.025
"Lagenorhynchus obliquidens",34,0.02
"Physeter macrocephalus",23,0.013
"Orcinus orca",19,0.011
"Delphinus delphis",16,0.009
"Balaenoptera physalus",14,0.008
"Lissodelphis borealis",10,0.006
"Ziphius cavirostris",8,0.005
"Delphinus capensis",7,0.004
"Grampus griseus",7,0.004
"Balaenoptera acutorostrata",6,0.004
"Mesoplodon stejnegeri",6,0.004
"Berardius bairdii",5,0.003
"Kogia breviceps",5,0.003
"Tursiops truncatus",5,0.003
"unidentified unidentified",4,0.002
"Mesoplodon NA",3,0.002
"Balaenoptera edeni",2,0.001
"Globicephala macrorhynchus",2,0.001
"Mesoplodon densirostris",2,0.001
"Balaenoptera borealis",1,0.001
"Balaenoptera musculus",1,0.001
"Kogia NA",1,0.001
"Megatera novaeangliae",1,0.001
"Mesoplodon carlhubbsi",1,0.001
"Stenella attenuata",1,0.001
