"sci_name","tot","OR","WA","Male","Female","Unid","HI"
"Balaenoptera acutorostrata",6,3,3,2,4,NA,2
"Balaenoptera borealis",1,0,1,1,NA,NA,1
"Balaenoptera edeni",2,0,2,2,NA,NA,2
"Balaenoptera musculus",1,1,0,1,NA,NA,NA
"Balaenoptera physalus",14,2,11,7,2,5,10
"Berardius bairdii",5,2,3,1,3,1,2
"Delphinus capensis",7,1,6,5,2,NA,1
"Delphinus delphis",16,12,4,6,9,1,1
"Eschrichtius robustus",170,58,112,63,54,53,44
"Globicephala macrorhynchus",2,1,1,NA,1,1,NA
"Grampus griseus",7,6,1,5,2,NA,1
"Kogia breviceps",5,3,2,2,2,1,NA
"Kogia NA",1,0,1,NA,NA,1,NA
"Lagenorhynchus obliquidens",34,25,9,11,16,7,6
"Lissodelphis borealis",10,7,3,5,4,1,1
"Megaptera novaeangliae",43,18,25,16,14,13,14
"Megatera novaeangliae",1,0,1,NA,NA,1,1
"Mesoplodon carlhubbsi",1,0,1,NA,1,NA,NA
"Mesoplodon densirostris",2,0,2,1,1,NA,1
"Mesoplodon NA",3,1,2,1,NA,2,1
"Mesoplodon stejnegeri",6,3,3,1,4,1,1
"NA NA",75,40,34,4,4,67,5
"Orcinus orca",19,4,15,5,10,4,2
"Phocoena phocoena",1077,302,775,393,345,339,191
"Phocoenoides dalli",99,17,82,39,16,44,7
"Physeter macrocephalus",23,14,9,6,8,9,6
"Stenella attenuata",1,1,0,NA,1,NA,NA
"Stenella coeruleoalba",57,46,11,32,17,8,10
"Tursiops truncatus",5,1,4,1,3,1,NA
"unidentified unidentified",4,0,4,NA,NA,4,NA
"Ziphius cavirostris",8,8,0,7,NA,1,1
