"Date","Year","Month","cnt","strand_anom","MEI","NPGO","PDO","SST_39","SST_44","Upwelling_39","Upwelling_45","ENSO_cat","CBA_North","CBA_South","type"
"2003-04-01",2003,4,2,-6.06666666666667,1.218,1.9691832,2.09,12.473,11.114,-117.2062,-182.9613,"El Nino",0.26162747,0.6397739,"Cetacean"
"2003-08-01",2003,8,6,-6,0.111,0.9192588,0.89,10.437,12.669,266.3612,26.8439,"El Nino",0.04577395,0.14440894,"Cetacean"
"2003-02-01",2003,2,4,-0.666666666666667,1.09,1.6592152,1.51,12.58,11.016,-38.9512,-140.6537,"El Nino",-0.35752916,0.015843982,"Cetacean"
"2003-01-01",2003,1,2,-3.13333333333333,1,0.8236371,0.42,12.161,10.526,139.1258,22.5313,"El Nino",0.21577555,0.15370852,"Cetacean"
"2003-07-01",2003,7,14,-3.73333333333333,0.365,1.1017216,1.18,11.366,10.828,-1.0366,-48.7164,"El Nino",0.32326266,0.05008997,"Cetacean"
"2003-06-01",2003,6,6,-2.86666666666667,0.831,1.4907115,1.51,11.657,10.547,-13.983,-146.866,"El Nino",-0.42117622,0.36280674,"Cetacean"
"2003-03-01",2003,3,4,-2.71428571428571,1.145,2.636547,2.1,12.569,12.024,-280.4601,-275.8259,"El Nino",-0.41218853,0.055502083,"Cetacean"
"2003-05-01",2003,5,18,2.86666666666667,0.937,0.9925656,1.75,12.206,10.623,62.8981,-6.7659,"El Nino",0.1817,0.41464236,"Cetacean"
"2003-11-01",2003,11,3,-1.78571428571429,0.316,0.78228796,0.88,13.356,13.115,156.1878,45.5069,"El Nino",-0.08090694,0.18307422,"Cetacean"
"2003-09-01",2003,9,1,-5.33333333333333,0.097,0.77769154,0.68,10.304,13.314,346.5649,60.6662,"El Nino",-0.16092515,-0.048141204,"Cetacean"
"2004-04-01",2004,4,4,-4.06666666666667,0.327,0.26501486,0.43,11.756,10.46,-81.5002,-191.8991,"El Nino",0.28494444,0.3780609,"Cetacean"
"2004-08-01",2004,8,7,-5,0.539,0.20735337,0.88,11.968,13.996,86.1121,11.2105,"El Nino",-0.009925154,0.24839768,"Cetacean"
"2004-12-01",2004,12,1,-3.06666666666667,0.572,0.3764023,0.75,12.487,15.12,129.2259,10.6987,"El Nino",-0.30495778,-0.031647038,"Cetacean"
"2004-02-01",2004,2,7,2.33333333333333,0.57,-0.11436786,0.52,11.894,11.731,-46.241,-84.0395,"El Nino",-0.371633,0.19317245,"Cetacean"
"2004-01-01",2004,1,6,0.866666666666666,0.516,1.286991,0.83,12.176,13.157,55.2387,-87.169,"El Nino",-0.9306125,0.124510646,"Cetacean"
"2004-07-01",2004,7,18,0.266666666666666,0.285,0.1252492,0.57,11.426,11.102,72.016,-14.7112,"El Nino",-0.105692714,0.104383014,"Cetacean"
"2004-06-01",2004,6,3,-5.86666666666667,-0.056,0.38293236,0.61,11.062,10.456,109.6707,-36.6857,"La Nina",0.40298766,0.25475386,"Cetacean"
"2004-03-01",2004,3,6,-0.714285714285714,0.351,0.22437689,0.33,12.099,11.141,-112.8844,-224.4759,"El Nino",-0.45050588,0.3426517,"Cetacean"
"2004-05-01",2004,5,12,-3.13333333333333,0.356,0.6672296,0.48,11.51,10.21,-97.0808,-143.5233,"El Nino",0.5500238,0.2264373,"Cetacean"
"2004-11-01",2004,11,1,-3.78571428571429,0.627,0.68538326,0.85,13.795,14.213,72.9484,16.437,"El Nino",-0.16909815,0.17580524,"Cetacean"
"2004-10-01",2004,10,3,-2.53846153846154,0.541,0.41156805,0.44,13.308,14.649,99.76,40.3652,"El Nino",-0.6377236,0.105474226,"Cetacean"
"2004-09-01",2004,9,6,-0.333333333333333,0.267,0.7764751,0.04,10.602,14.947,188.2307,40.5031,"El Nino",-0.5586381,0.18603538,"Cetacean"
"2005-04-01",2005,4,9,0.933333333333334,0.32,-1.6591848,0.44,12.267,NA,-45.533,-94.5784,"El Nino",-0.8188556,0.6402609,"Cetacean"
"2005-08-01",2005,8,7,-5,0.836,-0.7920546,1.86,12.929,13.508,74.5523,-15.9308,"El Nino",-0.19894183,0.5448699,"Cetacean"
"2005-12-01",2005,12,2,-2.06666666666667,0.315,-1.5746965,-0.46,12.23,12.095,121.8351,38.3074,"El Nino",0.4306089,0.1240863,"Cetacean"
"2005-02-01",2005,2,4,-0.666666666666667,0.805,-0.44177726,-0.63,12.76,11.46,98.1905,-8.3825,"El Nino",-0.42514965,0.46554467,"Cetacean"
"2005-01-01",2005,1,1,-4.13333333333333,0.508,0.042904183,-0.11,12.834,13.086,40.2352,-6.5593,"El Nino",-0.5091958,0.3868884,"Cetacean"
"2005-07-01",2005,7,9,-8.73333333333333,0.642,-1.6871969,1.03,11.944,11.521,87.9704,-29.8939,"El Nino",-1.1262094,0.60484225,"Cetacean"
"2005-06-01",2005,6,4,-4.86666666666667,1.055,-1.4880452,1.36,12.886,NA,15.6622,-38.1893,"El Nino",-1.5345651,0.64685476,"Cetacean"
"2005-05-01",2005,5,22,6.86666666666667,0.81,-1.4946921,0.81,12.423,NA,0.8504,3.2827,"El Nino",-1.1935263,0.64729565,"Cetacean"
"2005-11-01",2005,11,8,3.21428571428571,0.352,-1.1320689,0.25,11.817,12.42,131.4161,54.6555,"El Nino",-0.06798148,0.13957746,"Cetacean"
"2005-09-01",2005,9,3,-3.33333333333333,0.585,-1.2836361,1.17,10.989,15.404,197.1365,18.7469,"El Nino",-0.16482697,0.28880852,"Cetacean"
"2006-04-01",2006,4,8,-0.0666666666666664,-0.438,-0.6497689,1.03,12.686,11.455,-18.2532,-175.2138,"La Nina",-0.39975557,-0.020957625,"Cetacean"
"2006-08-01",2006,8,15,3,0.008,-0.12339385,0.48,NA,11.919,187.2317,43.0901,"El Nino",-0.12497515,0.036378242,"Cetacean"
