County,National.Database.Number,Field.Number,Nmfs.Regional.Number,Common.Name,Genus,Species,Report.Status,Examiner.Name,Affiliation,Stranding.Agreement.Authority,Region,City,State,Body.of.Water,Locality.Detail,Latitude,Latitude.Units,Latitude.Actual.Estimate,Longitude,Longitude.Actual.Estimate,How.lat.long.determined,Restrand,Findings.of.Human.Interaction,Observation.Date,Year.of.Observation,Month.of.Observation,Day.of.Observation,How.Observed,Observation.Date.Act.Est,Observation.Status,Not.Able.to.Examine,Date.of.Examination,Year.of.Examination,Month.of.Examination,Day.of.Examination,Condition.at.Examination,Left.at.Site,Sex,Age.Class,Length,Length.Units,Length.actual.estimate,Weight,Weight.Units,Weight.actual.estimate,Necropsied.Flag,Necropsy.Limited.Flag,Necropy.Carcass.Fresh.Frozen,Date.of.Necropsy,Year.of.Necropsy,Month.of.Necropsy,Day.of.Necropsy,Stranding.Necropsied.By,Additional.Remarks,Additional.Identifiers,Cetacean.Common.Name,Water.Body,mean_lat,mean_long,Long_error,Lat_error,long_corr,lat_corr
Clallam,NW-2003-1001423,MBHPp030712,03NWR07022,"Porpoise, harbor",Phocoena,phocoena,Validated,NMML,NOAA Fisheries,NOAA Fisheries,NW,La Push,WA,Pacific Ocean,.8 mile S of Split Rock on Rialto Beach,NA,NA,N,NA,N,NA,NA,N,2003-JUL-10,2003,JUL,10,Beach or Land,NA,Moderate Decomposition,N,2003-JUL-12,2003,JUL,12,Moderate Decomposition,N,Unid,Unid,30,in,NA,NA,NA,estimate,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,NA,NA,-124.1882836,48.14144159
Clallam,NW-2002-1027213,NW-4767,NMFSNW-4767,"Porpoise, harbor",Phocoena,phocoena,Validated,Public,NA,Unknown,NW,Crescent Bay,WA,NA,.25 mile W of mouth of Salt Creek,NA,NA,NA,NA,NA,NA,NA,N,2002-JUN-16,2002,JUN,16,NA,NA,Fresh Dead,N,2002-JUN-16,2002,JUN,16,Advanced Decomposition,N,Male,Unid,53,cm,actual,NA,in,actual,N,NA,NA,NA,NA,NA,NA,NA,report forwarded to us by Jim Mead (sister of RP),4767,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,NA,NA,-124.1882836,48.14144159
Clallam,NW-2012-1151377,MKH2012-013,12NWR05129,"Porpoise, harbor",Phocoena,phocoena,Validated,Adrianne Akmajian,Makah Fisheries Management,Makah Fisheries Management,NW,Neah Bay,WA,Pacific Ocean,Tsoo-Yess Beach,48.3221,dd.dddd,estimate,-124.663,estimate,Internet/Software,N,CBD,2012-MAY-22,2012,MAY,22,Beach or Land,NA,Fresh Dead,N,2012-MAY-22,2012,MAY,22,Fresh Dead,N,Male,Adult,151,cm,actual,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,"Dead harbor porpoise reported by Frankie Gonzales on Tsoo-Yess Beach between Mad Bear Rock and the river, being scavenged by eagles. AA and JS responded, took photos and length. 3 eagles were on carcass on arrival. Almost all tissues were scavenged clean from the bones except for some intestines, bladder, the stomach, and small portions of the spleen and lungs. Tissues appeared fresh - maybe 2.5 at most. Stomach felt empty except for ulcers. No tissues collected, carcass left at site.",NA,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,0.474716358,-0.18065841,-124.663,48.3221
Clallam,NW-2009-1098651,MKH-Er-09-1,09NWR04022,"Whale, gray",Eschrichtius,robustus,Validated,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,Neah Bay,WA,Pacific Ocean,Wqatch point,48.346242,decimal degrees,estimate,-124.7,estimate,Internet,N,CBD,2009-APR-02,2009,APR,2,Beach or Land,NA,Moderate Decomposition,N,NA,NA,NA,NA,Moderate Decomposition,N,Male,Subadult,882,cm,actual,NA,NA,NA,Y,limited,NA,2009-APR-02,2009,APR,2,John Scordino,"Skin was sloughed off. Blood appears to have pooled on the dorsal, left side of head. Also sighns of blood pooling in flippers. No known visible cause of death",NA,Gray whale,Inland_WA,48.14144159,-124.1882836,0.511716358,-0.20480041,-124.7,48.346242
Clallam,NW-2013-1151217,CRC-1256,13NWR05039,"Whale, humpback",Megaptera,novaeangliae,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,La Push,WA,Pacific Ocean,S end 3rd beach,47.8748,dd.dddd,actual,-124.5797,actual,GPS,N,CBD,2013-MAY-26,2013,MAY,26,Beach or Land,NA,Moderate Decomposition,N,2013-MAY-27,2013,MAY,27,Moderate Decomposition,N,Unid,Yearling,793,cm,actual,NA,NA,NA,Y,limited,fresh,2013-MAY-27,2013,MAY,27,CRC/WDFW MMI,"Was laying on back on the 26th, had flipped over onto ventral side by the time of response on the 27th.",NA,Humpback whale,Inland_WA,48.14144159,-124.1882836,0.391416358,0.26664159,-124.5797,47.8748
Clallam,MBH010713Oo,MBH010713Oo,NA,"Whale, killer",Orcinus,orca,NA,NA,NA,NA,NA,NA,WA,NA,NA,48.181,NA,NA,-123.12,NA,NA,NA,CBD,1/7/13,2013,JAN,NA,NA,NA,Dead,NA,NA,NA,NA,NA,NA,NA,Male,Calf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Killer whale,NA,48.14144159,-124.1882836,-1.068283642,-0.03955841,-123.12,48.181
Clallam,NW-2015-1182222,WDFW2015-055,15NWR07128,"Porpoise, Dalls",Phocoenoides,dalli,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,La Push,WA,Pacific Ocean,Rialto BeachJust south of hole in the wall,47.939,decimal degrees,actual,-124.648,actual,NA,N,CBD,2015-JUL-24,2015,JUL,24,Beach or Land,NA,Fresh Dead,N,2015-JUL-24,2015,JUL,24,Fresh Dead,N,Male,Calf,102,cm,actual,15.8,kg,actual,Y,complete,fresh,2015-JUL-25,2015,JUL,25,WDFW/MMI,Reported by park visitor to park officer. DML and DL were out on sea otter response. Collected and put on ice until necropsy. Couple Days prior a Adult female stranding ~15 mile further north on the Makah Reservation. Necropsy was conducted on that anim,WDFW2015-055,Dalls porpoise,Inland_WA,48.14144159,-124.1882836,0.459716358,0.20244159,-124.648,47.939
Clallam,NW-2010-1126554,CRC-1113,10NWR08060,"Porpoise, harbor",Phocoena,phocoena,Validated,Bethany Diehl,Cascadia Research,Cascadia Research,NW,Sequim,WA,Strait of Juan de Fuca,Dungeness Spit,48.1748,dd.dddd,NA,-123.1476,NA,GPS,N,N,2010-AUG-17,2010,AUG,17,Beach or Land,NA,Fresh Dead,N,2010-AUG-17,2010,AUG,17,Fresh Dead,N,Female,Calf,97,cm,Actual,11.75,kg,Actual,Y,Complete,Fresh,2010-AUG-18,2010,AUG,18,CRC,NA,CRC-1113,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,-1.040683642,-0.03335841,-123.1476,48.1748
Clallam,NW-2001-1027142,ErPJG20011,NMFSNW-4701,"Whale, gray",Eschrichtius,robustus,Validated,P. Gearin,NA,MFS/NMML,NW,Olympic NP,WA,NA,near Yellow Banks,NA,NA,NA,NA,NA,NA,NA,N,2001-JUN-10,2001,JUN,10,NA,NA,Alive,N,2001-OCT-13,2001,OCT,13,Moderate Decomposition,N,Unid,Unid,823,cm,actual,NA,kg,actual,Y,NA,NA,NA,NA,NA,NA,Unknown,NA,4701,Gray whale,Inland_WA,48.14144159,-124.1882836,NA,NA,-124.1882836,48.14144159
Clallam,NW-2006-1058225,060412-JST-PHPH,06NWR04020,"Porpoise, harbor",Phocoena,phocoena,Validated,Agency Biologist,NA,Jamestown S'Klallam Tribe,NW,Blyn,WA,Strait of Juan de Fuca,Toe of Sequim Bay behind Jamestown Tribal Center,48.01506,deg/min/sec,actual,-122.6,actual,GPS,N,N,2006-APR-12,2006,APR,12,Beach or Land,NA,Alive,N,2006-APR-13,2006,APR,13,Fresh Dead,Y,Female,Adult,188,cm,actual,150,lb,estimate,NA,NA,NA,NA,NA,NA,NA,NA,stuck in tideland flats for several hours; unable to reach animal without sinking in mud,NA,Harbor porpoise,Inland_WA,48.14144159,-124.1882836,-1.588283642,0.12638159,-124.1882836,48.01506
