County,National.Database.Number,Field.Number,Nmfs.Regional.Number,Confidence.Code,Common.Name,Genus,Species,Report.Status,Examiner.Name,Affiliation,Stranding.Agreement.Authority,Region,City,State,Body.of.Water,Locality.Detail,Latitude,Latitude.Units,Latitude.Actual.Estimate,Longitude,Longitude.Units,Longitude.Actual.Estimate,How.lat.long.determined,Restrand,Findings.of.Human.Interaction,Observation.Date,Year.of.Observation,Month.of.Observation,Day.of.Observation,How.Observed,Observation.Date.Act.Est,Observation.Status,Not.Able.to.Examine,Date.of.Examination,Year.of.Examination,Month.of.Examination,Day.of.Examination,Condition.at.Examination,Left.at.Site,Sex,Age.Class,Length,Length.Units,Length.actual.estimate,Weight,Weight.Units,Weight.actual.estimate,Necropsied.Flag,Necropsy.Limited.Flag,Necropy.Carcass.Fresh.Frozen,Date.of.Necropsy,Year.of.Necropsy,Month.of.Necropsy,Day.of.Necropsy,Stranding.Necropsied.By,Additional.Remarks,Additional.Identifiers,Cetacean.Common.Name,Water.Body,mean_lat,mean_long,Long_error,Lat_error,long_corr,lat_corr
Clallam,NW-2003-1000771,03-CM-015,03NWR04009,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Park Ranger,National Park Service,National Park Service,NW,South Sand Point,WA,Pacific Ocean,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,2003-APR-19,2003,APR,19,Beach or Land,NA,Fresh Dead,N,2003-APR-19,2003,APR,19,Fresh Dead,NA,Unid,Unid,0,cm,actual,NA,kg,actual,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harbor porpoise,Inland_WA,48.15233811,-124.1566226,NA,NA,-124.1566226,48.15233811
Clallam,NW-2004-1040558,DNG04002,04NWR11006,Confirmed - Medium Report,"Porpoise, Dalls",Phocoenoides,dalli,Validated,Agency Biologist,USFWS,USFWS,NW,Dungeness Spitt,WA,Strait of Juan de Fuca,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,2004-NOV-04,2004,NOV,4,Beach or Land,NA,Fresh Dead,N,2004-NOV-04,2004,NOV,4,Fresh Dead,N,Male,Subadult,161,cm,actual,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dalls porpoise,Inland_WA,48.15233811,-124.1566226,NA,NA,-124.1566226,48.15233811
Clallam,NW-2009-1104485,WDFW2009-092,09NWR08080,Confirmed- Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Adrianne Akmajian,WDFW/MMI,WDFW/MMI,NW,Forks,WA,Pacific,100 yards south of Hole-in-the-Wall,47.9239,dd.dddd,NA,-124.6401,dd.dddd,NA,Internet/Software,N,CBD,2009-AUG-14,2009,AUG,14,Beach or Land,NA,Moderate Decomposition,Y,NA,NA,NA,NA,Moderate Decomposition,N,Unid,Subadult,130,cm,Estimated,35,kg,NA,N,NA,NA,NA,NA,NA,NA,NA,"Found on beach ~100 yards south of Hole-in-the-Wall near Rialto Beach, Olympic Coast, WA",WDFW2009-092,Harbor porpoise,Inland_WA,48.15233811,-124.1566226,0.483477406,0.228438115,-124.6401,47.9239
Clallam,NW-2005-1046497,Pd-NPP-05-01,05NWR01012,Confirmed - Medium Report,"Porpoise, Dalls",Phocoenoides,dalli,Validated,Agency Biologist,Makah Fisheries Management,Makah Fisheries Management,NW,Neah Bay,WA,Strait of Juan de Fuca,Sooes Beach,48.18,decimal minutes,actual,-124.4,decimal minutes,actual,GPS,N,N,2005-JAN-21,2005,JAN,21,Beach or Land,NA,Fresh Dead,N,2005-JAN-21,2005,JAN,21,Fresh Dead,N,Male,Adult,176,cm,actual,NA,NA,NA,Y,NA,NA,2005-JAN-21,2005,JAN,21,"Pamplin, N.",no obvious external trauma,NA,Dalls porpoise,Inland_WA,48.15233811,-124.1566226,0.243377406,-0.027661885,-124.4,48.18
Clallam,NW-2011-1141678,11-CM-017,11NWR07108,Confirmed - Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,K. Wilkinson,NOAA Fisheries,NOAA Fisheries,NW,Port Angeles,WA,Pacific Ocean,"Freshwater Bay County Park, Straight on Juan de Fuca",48.146967,decimal degrees,estimate,-123.641717,decimal degrees,estimate,GPS,N,CBD,2011-JUL-07,2011,JUL,7,Beach or Land,NA,Moderate Decomposition,Y,NA,NA,NA,NA,NA,N,Unid,Adult,60,in,estimate,125,lb,estimate,N,NA,NA,NA,NA,NA,NA,NA,"Reported by member of the public, sent Juan de Fuca MMSN to the site to collect the carcass and it was gone when they arrived a couple of hours later.",NA,Harbor porpoise,Inland_WA,48.15233811,-124.1566226,-0.514905594,0.005371115,-123.641717,48.146967
Clallam,NW-2011-1140055,CRC-1162,11NWR07091,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Forks,WA,Pacific Ocean,Kalaloch Campground,47.613,dd.dddd,NA,-124.376,dd.dddd,NA,Internet/Software,N,CBD,2011-JUL-07,2011,JUL,7,Beach or Land,NA,Moderate Decomposition,Y,NA,NA,NA,NA,Moderate Decomposition,N,Male,Adult,5,ft,Estimated,100,lb,Estimated,N,NA,NA,NA,NA,NA,NA,NA,no response based on condition of animal,CRC-1162,Harbor porpoise,Inland_WA,48.15233811,-124.1566226,0.219377406,0.539338115,-124.376,48.15233811
Clallam,NW-2016-1193148,CRC-1573,16NWR10035,Confirmed- High Report,"Whale, Blainvilles beaked",Mesoplodon,densirostris,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Neah Bay,WA,Pacific Ocean,"Tsoo-yess beach, Makah Bay",48.3118,dd.dddd,actual,-125,dd.dddd,actual,GPS,N,Y,2016-OCT-09,2016,OCT,9,Beach or Land,NA,Fresh Dead,N,2016-OCT-11,2016,OCT,11,Fresh Dead,N,Female,Adult,431,cm,actual,NA,NA,NA,Y,complete,fresh,2016-OCT-11,2016,OCT,11,CRC/Makah Fisheries/WDFW,"first seen dead on Sunday (09-Oct), bleeding heavily from the mouth. Beachwalker was at site on Saturday and did not see the animal there. Species determined via genetic sample.",NA,Blainvilles beaked whale,Inland_WA,48.15233811,-124.1566226,0.843377406,-0.159461885,-125,48.3118
Clallam,NW-2002-1027198,NW-4752,NMFSNW-4752,NA,"Porpoise, Dalls",Phocoenoides,dalli,Validated,NMML,NA,Unknown,NW,Sequim,WA,NA,.5 mile S of Pt. Williams County Park boat ramp,NA,NA,NA,NA,NA,NA,NA,NA,N,2002-APR-23,2002,APR,23,NA,NA,Fresh Dead,N,2002-APR-24,2002,APR,24,Advanced Decomposition,N,Male,Unid,183,cm,actual,NA,kg,actual,Y,NA,NA,NA,NA,NA,NA,Unknown,NA,4752,Dalls porpoise,Inland_WA,48.15233811,-124.1566226,NA,NA,-124.1566226,48.15233811
Clallam,NW-2015-1181407,MKH2015-08,15NWR07112,Confirmed- High Report,"Porpoise, Dalls",Phocoenoides,dalli,Validated,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,Neah Bay,WA,Pacific Ocean,Wa'atch point,48.3415,dd.dddd,estimate,-124.6806,dd.dddd,estimate,Internet/Software,N,N,2015-JUL-22,2015,JUL,22,Beach or Land,NA,Fresh Dead,N,2015-JUL-24,2015,JUL,24,Fresh Dead,N,Female,Unid,202,cm,actual,NA,NA,NA,Y,complete,fresh,2015-JUL-24,2015,JUL,24,Makah Fisheries Management,"During examination noted heavy scavenging. Skull cracked in area of scavenging. Scavenging from left eye to left scapula. Small bite marks, reported coyote pups scavenging from carcass. May have been a shark bite initally. In necropsy noted Discoloration",NA,Dalls porpoise,Inland_WA,48.15233811,-124.1566226,0.523977406,-0.189161885,-124.6806,48.3415
Clallam,NW-2010-1120639,CRC-1021,10NWR01025,Confirmed- High Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Chrissy McLean,Port Townsend Marine Science Center/ East Jefferson Co. MMSN,PTMSC,NW,Sequim,WA,Strait of Juan de Fuca,"Pt Williams boat ramp, Sequim",48.088,dd.dddd,NA,-123.0425,dd.dddd,NA,GPS,N,Y,2010-JAN-04,2010,JAN,4,Beach or Land,NA,Fresh Dead,N,2010-JAN-04,2010,JAN,4,Fresh Dead,N,Female,Subadult,112,cm,Actual,28,kg,Actual,Y,Complete,Fresh,2010-JAN-05,2010,JAN,5,CRC/WDFW,"PTMSC removed from beach, Josh picked up at their facility to bring back for necropsy",CRC-1021 010410-1,Harbor porpoise,Inland_WA,48.15233811,-124.1566226,-1.114122594,0.064338115,-123.0425,48.088
