"Year.of.Observation","Month.of.Observation","County","National.Database.Number","Nmfs.Regional.Number","Examiner.Name","Stranding.Agreement.Authority","Region","State","Body.of.Water","Latitude","Latitude.Actual.Estimate","Longitude","Longitude.Actual.Estimate","How.lat.long.determined","Findings.of.Human.Interaction","Observation.Date","Observation.Status","Not.Able.to.Examine","Date.of.Examination","Year.of.Examination","Month.of.Examination","Day.of.Examination","Condition.at.Examination","Left.at.Site","Sex","Age.Class","Length","Length.Units","Length.actual.estimate","Weight","Weight.Units","Weight.actual.estimate","Necropsied.Flag","Stranding.Necropsied.By","Additional.Remarks","Cetacean.Common.Name","Water.Body","mean_lat","mean_long","Long_error","Lat_error","long_corr","lat_corr","sci_name","Date","Msquid_N","Herring","Anch","Sard","MEI","NPGO","PDO","SST_39","SST_44","Upwelling_39","Upwelling_45","Wind_39","Wind_44","ENSO_cat","MEI_lag1","NPGO_lag1","PDO_lag1","SST_39_lag1","SST_44_lag1","Upwelling_39_lag1","Upwelling_45_lag1","Wind_39_lag1","Wind_44_lag1","ENSO_cat_lag1","MEI_lag2","NPGO_lag2","PDO_lag2","SST_39_lag2","SST_44_lag2","Upwelling_39_lag2","Upwelling_45_lag2","Wind_39_lag2","Wind_44_lag2","ENSO_cat_lag2","MEI_lag3","NPGO_lag3","PDO_lag3","SST_39_lag3","SST_44_lag3","Upwelling_39_lag3","Upwelling_45_lag3","Wind_39_lag3","Wind_44_lag3","ENSO_cat_lag3","SST_39_anom","SST_44_anom","SST_39_anom_lag1","SST_44_anom_lag1","SST_39_anom_lag2","SST_44_anom_lag2","SST_39_anom_lag3","SST_44_anom_lag3","CBA_North","CBA_South","CBA_North_lag1","CBA_South_lag1","CBA_North_lag2","CBA_South_lag2","CBA_North_lag3","CBA_South_lag3","Season","type"
2000,"APR","Clallam","NW-2000-1023603","NMFSNW-1408","B. Hanson","MFS/NMML","NW","WA","NA","NA","NA","NA","NA","NA","N","2000-APR-23","Fresh Dead","N","2000-APR-26","2000","APR","26","Moderate Decomposition","N","Male","Unid","179","cm","actual","NA","kg","Y","NA","NA","NA","Dalls porpoise","Inland_WA","48.1414415904762","-124.188283641509","NA","NA","-124.188283641509","48.1414415904762","Phocoenoides dalli",NA,NA,NA,NA,NA,-1.139,1.4045384,-2,10.714,9.65,-56.5364,-148.5527,1.49351,2.879367,"La Nina",-1.161,1.0528054,-1.63,11.502,10.505,39.6248,-124.471,-3.28,2.460916,"La Nina",-1.05,1.3205504,-2.05,12.62,11.105,-138.3826,-189.236,1.94643,5.391176,"La Nina",-0.973,1.1788208,-2.23,11.982,10.727,64.995,-76.3936,-2.72245,-0.597683,"La Nina",-0.93416,-0.706333333,-0.744076923,-0.556,-0.129615385,-0.865958333,-0.858115385,-2.187521739,-0.37079966,-0.27302754,0.21870416,-0.4218449,0.30914223,-0.15446927,-0.075414814,-0.5485003,"Spring","Other"
2000,"APR","San Juan","NW-2000-1023586","NMFSNW-1393","Whale Museum","Unknown","NW","WA","NA","NA","NA","NA","NA","NA","N","2000-APR-05","Fresh Dead","N","2000-APR-05","2000","APR","5","Moderate Decomposition","N","Female","Unid","60","cm","actual","NA","in","N","NA","NA","NA","Dalls porpoise","Inland_WA","48.4573504957265","-122.95573","NA","NA","-122.95573","48.4573504957265","Phocoenoides dalli",NA,NA,NA,NA,NA,-1.139,1.4045384,-2,10.714,9.65,-56.5364,-148.5527,1.49351,2.879367,"La Nina",-1.161,1.0528054,-1.63,11.502,10.505,39.6248,-124.471,-3.28,2.460916,"La Nina",-1.05,1.3205504,-2.05,12.62,11.105,-138.3826,-189.236,1.94643,5.391176,"La Nina",-0.973,1.1788208,-2.23,11.982,10.727,64.995,-76.3936,-2.72245,-0.597683,"La Nina",-0.93416,-0.706333333,-0.744076923,-0.556,-0.129615385,-0.865958333,-0.858115385,-2.187521739,-0.37079966,-0.27302754,0.21870416,-0.4218449,0.30914223,-0.15446927,-0.075414814,-0.5485003,"Spring","Other"
2000,"APR","San Juan","NW-2000-1023596","NMFSNW-1401","Public","Unknown","NW","WA","NA","NA","NA","NA","NA","NA","N","2000-APR-14","Fresh Dead","N","2000-APR-14","2000","APR","14","Fresh Dead","N","Unid","Unid","NA","cm","actual","NA","kg","N","NA","NA","NA","Harbor porpoise","Inland_WA","48.4573504957265","-122.95573","NA","NA","-122.95573","48.4573504957265","Phocoena phocoena",NA,NA,NA,NA,NA,-1.139,1.4045384,-2,10.714,9.65,-56.5364,-148.5527,1.49351,2.879367,"La Nina",-1.161,1.0528054,-1.63,11.502,10.505,39.6248,-124.471,-3.28,2.460916,"La Nina",-1.05,1.3205504,-2.05,12.62,11.105,-138.3826,-189.236,1.94643,5.391176,"La Nina",-0.973,1.1788208,-2.23,11.982,10.727,64.995,-76.3936,-2.72245,-0.597683,"La Nina",-0.93416,-0.706333333,-0.744076923,-0.556,-0.129615385,-0.865958333,-0.858115385,-2.187521739,-0.37079966,-0.27302754,0.21870416,-0.4218449,0.30914223,-0.15446927,-0.075414814,-0.5485003,"Spring","Other"
2000,"APR","Grays Harbor","NW-2000-1023722","CRC-466","Cascadia Research","Unknown","NW","WA","NA","NA","NA","NA","NA","NA","N","2000-APR-28","Fresh Dead","N","2000-MAY-01","2000","MAY","1","Advanced Decomposition","N","Unid","Unid","1138","cm","actual","NA","kg","Y","NA","NA","NA","Gray whale","WA_Coast","47.059031","-124.159597888889","NA","NA","-124.159597888889","47.059031","Eschrichtius robustus",NA,NA,NA,NA,NA,-1.139,1.4045384,-2,10.714,9.65,-56.5364,-148.5527,1.49351,2.879367,"La Nina",-1.161,1.0528054,-1.63,11.502,10.505,39.6248,-124.471,-3.28,2.460916,"La Nina",-1.05,1.3205504,-2.05,12.62,11.105,-138.3826,-189.236,1.94643,5.391176,"La Nina",-0.973,1.1788208,-2.23,11.982,10.727,64.995,-76.3936,-2.72245,-0.597683,"La Nina",-0.93416,-0.706333333,-0.744076923,-0.556,-0.129615385,-0.865958333,-0.858115385,-2.187521739,-0.37079966,-0.27302754,0.21870416,-0.4218449,0.30914223,-0.15446927,-0.075414814,-0.5485003,"Spring","Other"
2000,"APR","Whatcom","NW-2000-1023634","NMFSNW-1436","NMML","Unknown","NW","WA","NA","NA","NA","NA","NA","NA","N","2000-APR-13","Fresh Dead","N","2000-APR-17","2000","APR","17","Advanced Decomposition","N","Male","Unid","1228","cm","actual","NA","kg","Y","NA","NA","NA","Gray whale","Inland_WA","48.7796468787879","-122.626669302857","NA","NA","-122.626669302857","48.7796468787879","Eschrichtius robustus",NA,NA,NA,NA,NA,-1.139,1.4045384,-2,10.714,9.65,-56.5364,-148.5527,1.49351,2.879367,"La Nina",-1.161,1.0528054,-1.63,11.502,10.505,39.6248,-124.471,-3.28,2.460916,"La Nina",-1.05,1.3205504,-2.05,12.62,11.105,-138.3826,-189.236,1.94643,5.391176,"La Nina",-0.973,1.1788208,-2.23,11.982,10.727,64.995,-76.3936,-2.72245,-0.597683,"La Nina",-0.93416,-0.706333333,-0.744076923,-0.556,-0.129615385,-0.865958333,-0.858115385,-2.187521739,-0.37079966,-0.27302754,0.21870416,-0.4218449,0.30914223,-0.15446927,-0.075414814,-0.5485003,"Spring","Other"
2000,"APR","Lincoln","NW-2000-1023868","NMFSNW-1651","Public","Unknown","NW","OR","NA","NA","NA","NA","NA","NA","N","2000-APR-17","Fresh Dead","N","2000-APR-17","2000","APR","17","Fresh Dead","N","Unid","Unid","40","cm","actual","NA","in","N","NA","NA","NA","Unidentified","OR_Coast","44.6431007619048","-124.077402933333","NA","NA","-124.077402933333","44.6431007619048","NA NA",NA,NA,NA,NA,NA,-1.139,1.4045384,-2,10.714,9.65,-56.5364,-148.5527,1.49351,2.879367,"La Nina",-1.161,1.0528054,-1.63,11.502,10.505,39.6248,-124.471,-3.28,2.460916,"La Nina",-1.05,1.3205504,-2.05,12.62,11.105,-138.3826,-189.236,1.94643,5.391176,"La Nina",-0.973,1.1788208,-2.23,11.982,10.727,64.995,-76.3936,-2.72245,-0.597683,"La Nina",-0.93416,-0.706333333,-0.744076923,-0.556,-0.129615385,-0.865958333,-0.858115385,-2.187521739,-0.37079966,-0.27302754,0.21870416,-0.4218449,0.30914223,-0.15446927,-0.075414814,-0.5485003,"Spring","Other"
2000,"APR","San Juan","NW-2000-1023600","NMFSNW-1405","Whale Museum","Unknown","NW","WA","NA","NA","NA","NA","NA","NA","N","2000-APR-20","Fresh Dead","N","2000-APR-20","2000","APR","20","Mummified/Skeletal","N","Unid","Unid","148","cm","actual","NA","kg","N","NA","NA","NA","Dalls porpoise","Inland_WA","48.4573504957265","-122.95573","NA","NA","-122.95573","48.4573504957265","Phocoenoides dalli",NA,NA,NA,NA,NA,-1.139,1.4045384,-2,10.714,9.65,-56.5364,-148.5527,1.49351,2.879367,"La Nina",-1.161,1.0528054,-1.63,11.502,10.505,39.6248,-124.471,-3.28,2.460916,"La Nina",-1.05,1.3205504,-2.05,12.62,11.105,-138.3826,-189.236,1.94643,5.391176,"La Nina",-0.973,1.1788208,-2.23,11.982,10.727,64.995,-76.3936,-2.72245,-0.597683,"La Nina",-0.93416,-0.706333333,-0.744076923,-0.556,-0.129615385,-0.865958333,-0.858115385,-2.187521739,-0.37079966,-0.27302754,0.21870416,-0.4218449,0.30914223,-0.15446927,-0.075414814,-0.5485003,"Spring","Other"
2000,"APR","Jefferson","NW-2000-1023587","NMFSNW-1394","B. Hanson","MFS/NMML","NW","WA","NA","NA","NA","-122.43","NA","NA","N","2000-APR-05","Alive","N","2000-APR-07","2000","APR","7","Moderate Decomposition","N","Male","Unid","NA","cm","actual","NA","kg","N","NA","NA","NA","Dalls porpoise","Inland_WA","47.8117218837209","-123.665621644444","-1.23562164444444","NA","-122.43","47.8117218837209","Phocoenoides dalli",NA,NA,NA,NA,NA,-1.139,1.4045384,-2,10.714,9.65,-56.5364,-148.5527,1.49351,2.879367,"La Nina",-1.161,1.0528054,-1.63,11.502,10.505,39.6248,-124.471,-3.28,2.460916,"La Nina",-1.05,1.3205504,-2.05,12.62,11.105,-138.3826,-189.236,1.94643,5.391176,"La Nina",-0.973,1.1788208,-2.23,11.982,10.727,64.995,-76.3936,-2.72245,-0.597683,"La Nina",-0.93416,-0.706333333,-0.744076923,-0.556,-0.129615385,-0.865958333,-0.858115385,-2.187521739,-0.37079966,-0.27302754,0.21870416,-0.4218449,0.30914223,-0.15446927,-0.075414814,-0.5485003,"Spring","Other"
2000,"APR","Mason","NW-2000-1023720","CRC-464","Cascadia Research","Unknown","NW","WA","NA","NA","NA","NA","NA","NA","N","2000-APR-14","Alive","N","2000-APR-15","2000","APR","15","Moderate Decomposition","N","Male","Unid","1120","cm","actual","NA","kg","Y","NA","NA","NA","Gray whale","Inland_WA","47.5373142857143","-122.956771428571","NA","NA","-122.956771428571","47.5373142857143","Eschrichtius robustus",NA,NA,NA,NA,NA,-1.139,1.4045384,-2,10.714,9.65,-56.5364,-148.5527,1.49351,2.879367,"La Nina",-1.161,1.0528054,-1.63,11.502,10.505,39.6248,-124.471,-3.28,2.460916,"La Nina",-1.05,1.3205504,-2.05,12.62,11.105,-138.3826,-189.236,1.94643,5.391176,"La Nina",-0.973,1.1788208,-2.23,11.982,10.727,64.995,-76.3936,-2.72245,-0.597683,"La Nina",-0.93416,-0.706333333,-0.744076923,-0.556,-0.129615385,-0.865958333,-0.858115385,-2.187521739,-0.37079966,-0.27302754,0.21870416,-0.4218449,0.30914223,-0.15446927,-0.075414814,-0.5485003,"Spring","Other"
2000,"APR","Lincoln","NW-2000-1023585","HMSC00-C1","B. Lagerquist","Oregon State University","NW","OR","NA","NA","NA","NA","NA","NA","N","2000-APR-04","Fresh Dead","N","2000-APR-05","2000","APR","5","Advanced Decomposition","N","Male","Unid","1240","cm","actual","NA","kg","N","NA","NA","NA","Gray whale","OR_Coast","44.6431007619048","-124.077402933333","NA","NA","-124.077402933333","44.6431007619048","Eschrichtius robustus",NA,NA,NA,NA,NA,-1.139,1.4045384,-2,10.714,9.65,-56.5364,-148.5527,1.49351,2.879367,"La Nina",-1.161,1.0528054,-1.63,11.502,10.505,39.6248,-124.471,-3.28,2.460916,"La Nina",-1.05,1.3205504,-2.05,12.62,11.105,-138.3826,-189.236,1.94643,5.391176,"La Nina",-0.973,1.1788208,-2.23,11.982,10.727,64.995,-76.3936,-2.72245,-0.597683,"La Nina",-0.93416,-0.706333333,-0.744076923,-0.556,-0.129615385,-0.865958333,-0.858115385,-2.187521739,-0.37079966,-0.27302754,0.21870416,-0.4218449,0.30914223,-0.15446927,-0.075414814,-0.5485003,"Spring","Other"
