Date,Msquid_N,Herring,Anch,Sard,Year.of.Observation,Month.of.Observation
1/1/03,0.554979,0.547059,0.208543,0.393889,2003,JAN
2/1/03,0.554979,0.547059,0.208543,0.393889,2003,FEB
3/1/03,0.554979,0.547059,0.208543,0.393889,2003,MAR
4/1/03,0.554979,0.547059,0.208543,0.393889,2003,APR
5/1/03,0.554979,0.547059,0.208543,0.393889,2003,MAY
6/1/03,0.554979,0.547059,0.208543,0.393889,2003,JUN
7/1/03,0.554979,0.547059,0.208543,0.393889,2003,JUL
8/1/03,0.554979,0.547059,0.208543,0.393889,2003,AUG
9/1/03,0.554979,0.547059,0.208543,0.393889,2003,SEP
10/1/03,0.554979,0.547059,0.208543,0.393889,2003,OCT
11/1/03,0.554979,0.547059,0.208543,0.393889,2003,NOV
1/1/04,0.306804,0.12362,1.19523,1.42007,2004,JAN
2/1/04,0.306804,0.12362,1.19523,1.42007,2004,FEB
3/1/04,0.306804,0.12362,1.19523,1.42007,2004,MAR
4/1/04,0.306804,0.12362,1.19523,1.42007,2004,APR
5/1/04,0.306804,0.12362,1.19523,1.42007,2004,MAY
6/1/04,0.306804,0.12362,1.19523,1.42007,2004,JUN
7/1/04,0.306804,0.12362,1.19523,1.42007,2004,JUL
8/1/04,0.306804,0.12362,1.19523,1.42007,2004,AUG
9/1/04,0.306804,0.12362,1.19523,1.42007,2004,SEP
10/1/04,0.306804,0.12362,1.19523,1.42007,2004,OCT
11/1/04,0.306804,0.12362,1.19523,1.42007,2004,NOV
12/1/04,0.306804,0.12362,1.19523,1.42007,2004,DEC
1/1/05,0.124197,0.0738636,0.893062,0.237365,2005,JAN
2/1/05,0.124197,0.0738636,0.893062,0.237365,2005,FEB
3/1/05,0.124197,0.0738636,0.893062,0.237365,2005,MAR
4/1/05,0.124197,0.0738636,0.893062,0.237365,2005,APR
5/1/05,0.124197,0.0738636,0.893062,0.237365,2005,MAY
6/1/05,0.124197,0.0738636,0.893062,0.237365,2005,JUN
7/1/05,0.124197,0.0738636,0.893062,0.237365,2005,JUL
8/1/05,0.124197,0.0738636,0.893062,0.237365,2005,AUG
9/1/05,0.124197,0.0738636,0.893062,0.237365,2005,SEP
10/1/05,0.124197,0.0738636,0.893062,0.237365,2005,OCT
11/1/05,0.124197,0.0738636,0.893062,0.237365,2005,NOV
12/1/05,0.124197,0.0738636,0.893062,0.237365,2005,DEC
1/1/06,0.309274,0.0235695,0.124759,0.208015,2006,JAN
2/1/06,0.309274,0.0235695,0.124759,0.208015,2006,FEB
3/1/06,0.309274,0.0235695,0.124759,0.208015,2006,MAR
4/1/06,0.309274,0.0235695,0.124759,0.208015,2006,APR
5/1/06,0.309274,0.0235695,0.124759,0.208015,2006,MAY
6/1/06,0.309274,0.0235695,0.124759,0.208015,2006,JUN
7/1/06,0.309274,0.0235695,0.124759,0.208015,2006,JUL
8/1/06,0.309274,0.0235695,0.124759,0.208015,2006,AUG
9/1/06,0.309274,0.0235695,0.124759,0.208015,2006,SEP
10/1/06,0.309274,0.0235695,0.124759,0.208015,2006,OCT
11/1/06,0.309274,0.0235695,0.124759,0.208015,2006,NOV
12/1/06,0.309274,0.0235695,0.124759,0.208015,2006,DEC
1/1/07,0.0719958,0.161659,0.285407,0.0882064,2007,JAN
2/1/07,0.0719958,0.161659,0.285407,0.0882064,2007,FEB
3/1/07,0.0719958,0.161659,0.285407,0.0882064,2007,MAR
4/1/07,0.0719958,0.161659,0.285407,0.0882064,2007,APR
5/1/07,0.0719958,0.161659,0.285407,0.0882064,2007,MAY
6/1/07,0.0719958,0.161659,0.285407,0.0882064,2007,JUN
7/1/07,0.0719958,0.161659,0.285407,0.0882064,2007,JUL
