"sci_name","tot","Spring","spring_p","Summer","summer_p","Fall","fall_p","Winter","winter_p"
"Balaenoptera acutorostrata",6,3,0.5,1,0.17,1,0.17,1,0.17
"Balaenoptera borealis",1,0,0,0,0,1,1,0,0
"Balaenoptera edeni",2,0,0,0,0,0,0,2,1
"Balaenoptera musculus",1,0,0,0,0,1,1,0,0
"Balaenoptera physalus",9,5,0.56,2,0.22,1,0.11,1,0.11
"Berardius bairdii",5,2,0.4,1,0.2,1,0.2,1,0.2
"Delphinus capensis",7,3,0.43,0,0,3,0.43,1,0.14
"Delphinus delphis",13,2,0.15,0,0,9,0.69,2,0.15
"Eschrichtius robustus",131,68,0.52,35,0.27,5,0.04,23,0.18
"Globicephala macrorhynchus",1,0,0,0,0,0,0,1,1
"Grampus griseus",7,4,0.57,0,0,3,0.43,0,0
"Kogia breviceps",5,0,0,0,0,4,0.8,1,0.2
"Lagenorhynchus obliquidens",29,13,0.45,5,0.17,5,0.17,6,0.21
"Lissodelphis borealis",9,2,0.22,1,0.11,0,0,6,0.67
"Megaptera novaeangliae",38,6,0.16,16,0.42,11,0.29,5,0.13
"Mesoplodon carlhubbsi",1,0,0,1,1,0,0,0,0
"Mesoplodon densirostris",2,0,0,0,0,2,1,0,0
"Mesoplodon stejnegeri",3,2,0.67,0,0,0,0,1,0.33
"NA NA",65,18,0.28,20,0.31,8,0.12,19,0.29
"Orcinus orca",13,3,0.23,3,0.23,2,0.15,5,0.38
"Phocoena phocoena",958,268,0.28,458,0.48,143,0.15,89,0.09
"Phocoenoides dalli",75,22,0.29,25,0.33,17,0.23,11,0.15
"Physeter macrocephalus",17,6,0.35,1,0.06,1,0.06,9,0.53
"Stenella attenuata",1,1,1,0,0,0,0,0,0
"Stenella coeruleoalba",52,12,0.23,5,0.1,14,0.27,21,0.4
"Tursiops truncatus",5,0,0,3,0.6,0,0,2,0.4
"Ziphius cavirostris",7,2,0.29,2,0.29,2,0.29,1,0.14
