"Cetacean.Common.Name","Month.of.Observation","Year.of.Observation","cnt_all","mean_all","strand_anom_all"
"Bairds beaked whale","APR",2017,1,1,0
"Bairds beaked whale","AUG",2003,1,1,0
"Bairds beaked whale","JAN",2003,1,1,0
"Bairds beaked whale","MAY",2015,1,1,0
"Bairds beaked whale","NOV",2010,1,1,0
"Blainvilles beaked whale","OCT",2016,1,1,0
"Bottlenose dolphin","JAN",2011,1,1,0
"Bottlenose dolphin","JUL",2012,1,1,0
"Bottlenose dolphin","JUL",2010,1,1,0
"Bottlenose dolphin","JUN",2004,1,1,0
"Cuviers beaked whale","APR",2001,1,1,0
"Cuviers beaked whale","JAN",2006,1,1,0
"Cuviers beaked whale","JUL",2007,1,1,0
"Cuviers beaked whale","JUL",2013,1,1,0
"Cuviers beaked whale","MAR",2002,1,1,0
"Cuviers beaked whale","MAY",2008,2,2,0
"Cuviers beaked whale","NOV",2005,1,1,0
"Cuviers beaked whale","NOV",2006,1,1,0
"Dalls porpoise","APR",2000,4,1.33333333333333,2.66666666666667
"Dalls porpoise","APR",2005,1,1.33333333333333,-0.333333333333333
"Dalls porpoise","APR",2011,1,1.33333333333333,-0.333333333333333
"Dalls porpoise","APR",2009,1,1.33333333333333,-0.333333333333333
"Dalls porpoise","APR",2016,1,1.33333333333333,-0.333333333333333
"Dalls porpoise","APR",2006,1,1.33333333333333,-0.333333333333333
"Dalls porpoise","APR",2002,1,1.33333333333333,-0.333333333333333
"Dalls porpoise","APR",2013,1,1.33333333333333,-0.333333333333333
"Dalls porpoise","APR",2019,1,1.33333333333333,-0.333333333333333
"Dalls porpoise","AUG",2003,1,1.3,-0.3
"Dalls porpoise","AUG",2004,2,1.3,0.7
"Dalls porpoise","AUG",2015,2,1.3,0.7
"Dalls porpoise","AUG",2014,2,1.3,0.7
"Dalls porpoise","AUG",2005,1,1.3,-0.3
"Dalls porpoise","AUG",2006,1,1.3,-0.3
"Dalls porpoise","AUG",2019,1,1.3,-0.3
"Dalls porpoise","AUG",2009,1,1.3,-0.3
"Dalls porpoise","AUG",2016,1,1.3,-0.3
"Dalls porpoise","AUG",2010,1,1.3,-0.3
"Dalls porpoise","DEC",2012,1,1,0
"Dalls porpoise","DEC",2009,1,1,0
"Dalls porpoise","DEC",2014,1,1,0
"Dalls porpoise","FEB",2001,1,1.4,-0.4
"Dalls porpoise","FEB",2014,1,1.4,-0.4
"Dalls porpoise","FEB",2003,2,1.4,0.6
"Dalls porpoise","FEB",2005,1,1.4,-0.4
"Dalls porpoise","FEB",2004,2,1.4,0.6
"Dalls porpoise","JAN",2000,2,1.25,0.75
"Dalls porpoise","JAN",2002,1,1.25,-0.25
"Dalls porpoise","JAN",2005,1,1.25,-0.25
"Dalls porpoise","JAN",2004,1,1.25,-0.25
"Dalls porpoise","JUL",2001,1,1.44444444444444,-0.444444444444444
"Dalls porpoise","JUL",2005,1,1.44444444444444,-0.444444444444444
"Dalls porpoise","JUL",2018,1,1.44444444444444,-0.444444444444444
"Dalls porpoise","JUL",2004,3,1.44444444444444,1.55555555555556
"Dalls porpoise","JUL",2002,1,1.44444444444444,-0.444444444444444
"Dalls porpoise","JUL",2015,2,1.44444444444444,0.555555555555556
"Dalls porpoise","JUL",2012,1,1.44444444444444,-0.444444444444444
"Dalls porpoise","JUL",2000,2,1.44444444444444,0.555555555555556
"Dalls porpoise","JUL",2003,1,1.44444444444444,-0.444444444444444
"Dalls porpoise","JUN",2007,1,1.16666666666667,-0.166666666666667
"Dalls porpoise","JUN",2011,1,1.16666666666667,-0.166666666666667
"Dalls porpoise","JUN",2014,1,1.16666666666667,-0.166666666666667
"Dalls porpoise","JUN",2001,2,1.16666666666667,0.833333333333333
"Dalls porpoise","JUN",2016,1,1.16666666666667,-0.166666666666667
"Dalls porpoise","JUN",2005,1,1.16666666666667,-0.166666666666667
"Dalls porpoise","MAR",2000,1,2,-1
"Dalls porpoise","MAR",2004,3,2,1
"Dalls porpoise","MAR",2007,2,2,0
"Dalls porpoise","MAY",2001,1,1.7,-0.7
"Dalls porpoise","MAY",2017,3,1.7,1.3
"Dalls porpoise","MAY",2019,1,1.7,-0.7
"Dalls porpoise","MAY",2005,3,1.7,1.3
"Dalls porpoise","MAY",2003,1,1.7,-0.7
"Dalls porpoise","MAY",2004,1,1.7,-0.7
"Dalls porpoise","MAY",2002,3,1.7,1.3
"Dalls porpoise","MAY",2000,1,1.7,-0.7
"Dalls porpoise","MAY",2006,2,1.7,0.3
"Dalls porpoise","MAY",2011,1,1.7,-0.7
"Dalls porpoise","NOV",2006,1,1.28571428571429,-0.285714285714286
"Dalls porpoise","NOV",2015,1,1.28571428571429,-0.285714285714286
"Dalls porpoise","NOV",2009,1,1.28571428571429,-0.285714285714286
"Dalls porpoise","NOV",2004,1,1.28571428571429,-0.285714285714286
"Dalls porpoise","NOV",2001,1,1.28571428571429,-0.285714285714286
"Dalls porpoise","NOV",2005,3,1.28571428571429,1.71428571428571
"Dalls porpoise","NOV",2003,1,1.28571428571429,-0.285714285714286
"Dalls porpoise","OCT",2004,1,1,0
"Dalls porpoise","OCT",2001,1,1,0
"Dalls porpoise","OCT",2007,1,1,0
"Dalls porpoise","SEP",2007,1,1.14285714285714,-0.142857142857143
"Dalls porpoise","SEP",2006,1,1.14285714285714,-0.142857142857143
"Dalls porpoise","SEP",2014,1,1.14285714285714,-0.142857142857143
