"sci_name","tot","Spring","spring_p","Summer","summer_p","Fall","fall_p","Winter","winter_p"
"Balaenoptera acutorostrata",6,3,0.5,1,0.17,1,0.17,1,0.17
"Balaenoptera borealis",1,0,0,0,0,1,1,0,0
"Balaenoptera edeni",2,0,0,0,0,0,0,2,1
"Balaenoptera musculus",1,0,0,0,0,1,1,0,0
"Balaenoptera physalus",13,5,0.38,3,0.23,4,0.31,1,0.08
"Berardius bairdii",5,2,0.4,1,0.2,1,0.2,1,0.2
"Delphinus capensis",7,2,0.29,0,0,4,0.57,1,0.14
"Delphinus delphis",16,3,0.19,0,0,9,0.56,4,0.25
"Eschrichtius robustus",172,92,0.53,51,0.3,5,0.03,24,0.14
"Globicephala macrorhynchus",2,0,0,1,0.5,0,0,1,0.5
"Grampus griseus",8,4,0.5,0,0,4,0.5,0,0
"Kogia breviceps",5,0,0,0,0,4,0.8,1,0.2
"Kogia NA",1,0,0,0,0,0,0,1,1
"Lagenorhynchus obliquidens",33,13,0.39,8,0.24,6,0.18,6,0.18
"Lissodelphis borealis",10,2,0.2,2,0.2,0,0,6,0.6
"Megaptera novaeangliae",43,7,0.16,19,0.44,12,0.28,5,0.12
"Mesoplodon carlhubbsi",1,0,0,1,1,0,0,0,0
"Mesoplodon densirostris",2,0,0,0,0,2,1,0,0
"Mesoplodon NA",3,2,0.67,1,0.33,0,0,0,0
"Mesoplodon stejnegeri",6,4,0.67,1,0.17,0,0,1,0.17
"NA NA",75,21,0.28,27,0.36,8,0.11,19,0.25
"Orcinus orca",19,5,0.26,5,0.26,2,0.11,7,0.37
"phocoena phocoena",1,0,0,1,1,0,0,0,0
"Phocoena phocoena",1051,298,0.28,502,0.48,156,0.15,95,0.09
"Phocoenoides dalli",99,33,0.33,31,0.31,20,0.2,15,0.15
"Physeter macrocephalus",23,6,0.26,1,0.04,3,0.13,13,0.57
"Stenella attenuata",1,1,1,0,0,0,0,0,0
"Stenella coeruleoalba",55,13,0.24,5,0.09,14,0.25,23,0.42
"Tursiops truncatus",5,0,0,3,0.6,0,0,2,0.4
"unidentified unidentified",4,1,0.25,0,0,1,0.25,2,0.5
"unknown unknown",1,0,0,0,0,0,0,1,1
"Ziphius cavirostris",8,3,0.38,2,0.25,2,0.25,1,0.12
