"sci_name","cnt","perc"
"Phocoena phocoena",1056,0.604
"Eschrichtius robustus",173,0.099
"Phocoenoides dalli",99,0.057
"NA NA",75,0.043
"Stenella coeruleoalba",55,0.031
"Megaptera novaeangliae",43,0.025
"Lagenorhynchus obliquidens",33,0.019
"Physeter macrocephalus",23,0.013
"Orcinus orca",19,0.011
"Delphinus delphis",16,0.009
"Balaenoptera physalus",13,0.007
"Lissodelphis borealis",10,0.006
"Grampus griseus",8,0.005
"Ziphius cavirostris",8,0.005
"Delphinus capensis",7,0.004
"Balaenoptera acutorostrata",6,0.003
"Mesoplodon stejnegeri",6,0.003
"Berardius bairdii",5,0.003
"Kogia breviceps",5,0.003
"Tursiops truncatus",5,0.003
"unidentified unidentified",4,0.002
"Mesoplodon NA",3,0.002
"Balaenoptera edeni",2,0.001
"Globicephala macrorhynchus",2,0.001
"Mesoplodon densirostris",2,0.001
"Balaenoptera borealis",1,0.001
"Balaenoptera musculus",1,0.001
"Kogia NA",1,0.001
"Mesoplodon carlhubbsi",1,0.001
"phocoena phocoena",1,0.001
"Stenella attenuata",1,0.001
"unknown unknown",1,0.001
