"sci_name","tot","Female","Male","Unid","OR","WA","HI"
"Balaenoptera acutorostrata",6,4,2,NA,3,3,2
"Balaenoptera borealis",1,NA,1,NA,0,1,1
"Balaenoptera edeni",2,NA,2,NA,0,2,2
"Balaenoptera musculus",1,NA,1,NA,1,0,NA
"Balaenoptera physalus",13,2,7,4,2,11,10
"Berardius bairdii",5,3,1,1,2,3,2
"Delphinus capensis",7,2,5,NA,1,6,1
"Delphinus delphis",16,9,6,1,12,4,1
"Eschrichtius robustus",173,55,65,53,59,114,42
"Globicephala macrorhynchus",2,1,NA,1,1,1,NA
"Grampus griseus",8,2,6,NA,6,2,1
"Kogia breviceps",5,2,2,1,3,2,NA
"Kogia NA",1,NA,NA,1,0,1,NA
"Lagenorhynchus obliquidens",33,15,11,7,24,9,6
"Lissodelphis borealis",10,4,5,1,7,3,1
"Megaptera novaeangliae",43,14,17,12,18,25,14
"Mesoplodon carlhubbsi",1,1,NA,NA,0,1,NA
"Mesoplodon densirostris",2,1,1,NA,0,2,1
"Mesoplodon NA",3,NA,1,2,1,2,1
"Mesoplodon stejnegeri",6,4,1,1,3,3,1
"NA NA",75,5,4,65,41,34,5
"Orcinus orca",19,9,6,4,3,16,2
"phocoena phocoena",1,NA,NA,1,0,1,NA
"Phocoena phocoena",1056,335,388,333,301,755,188
"Phocoenoides dalli",99,16,39,44,17,82,7
"Physeter macrocephalus",23,8,6,9,14,9,6
"Stenella attenuata",1,1,NA,NA,1,0,NA
"Stenella coeruleoalba",55,17,31,7,44,11,10
"Tursiops truncatus",5,3,1,1,1,4,NA
"unidentified unidentified",4,NA,NA,4,0,4,NA
"unknown unknown",1,NA,NA,1,0,1,NA
"Ziphius cavirostris",8,NA,7,1,8,0,1
